date,venue,pair,week
20250707,COINBASE,BTC-USD,W-7
20250708,COINBASE,BTC-USD,W-7
20250709,COINBASE,BTC-USD,W-7
20250710,COINBASE,BTC-USD,W-7
20250711,COINBASE,BTC-USD,W-7
20250712,COINBASE,BTC-USD,W-7
20250713,COINBASE,BTC-USD,W-7
20250714,BINANCE,BTCUSDT,W-6
20250714,COINBASE,BTCUSDT,W-6
20250714,BYBITSPOT,BTCUSDT,W-6
20250714,BITGET,BTCUSDT,W-6
20250715,BINANCE,BTCUSDT,W-6
20250715,COINBASE,BTCUSDT,W-6
20250715,BYBITSPOT,BTCUSDT,W-6
20250715,BITGET,BTCUSDT,W-6
20250716,BINANCE,BTCUSDT,W-6
20250716,COINBASE,BTCUSDT,W-6
20250716,BYBITSPOT,BTCUSDT,W-6
20250716,BITGET,BTCUSDT,W-6
20250717,BINANCE,BTCUSDT,W-6
20250717,COINBASE,BTCUSDT,W-6
20250717,BYBITSPOT,BTCUSDT,W-6
20250717,BITGET,BTCUSDT,W-6
20250718,BINANCE,BTCUSDT,W-6
20250718,COINBASE,BTCUSDT,W-6
20250718,BYBITSPOT,BTCUSDT,W-6
20250718,BITGET,BTCUSDT,W-6
20250719,BINANCE,BTCUSDT,W-6
20250719,COINBASE,BTCUSDT,W-6
20250719,BYBITSPOT,BTCUSDT,W-6
20250719,BITGET,BTCUSDT,W-6
20250720,BINANCE,BTCUSDT,W-6
20250720,COINBASE,BTCUSDT,W-6
20250720,BYBITSPOT,BTCUSDT,W-6
20250720,BITGET,BTCUSDT,W-6
