week,date,venue,pair,file_path,size_bytes,gzip_valid,sha256
W-6,20250714,COINBASE,BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250714/E-COINBASE/IDDI_248891ed__BTC_USD.csv.gz,52275150,True,37e8dc265a1c63d7931a53385c2713ddcb402f39109f7590c1612b1923de4808
W-6,20250714,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250714/E-BINANCE/IDDI_cc043262__BTCUSDT.csv.gz,155244332,True,f85192acc5f1f608257e2858fb7a5df4f2b6850748315a511b6f482855e5b2a4
W-6,20250714,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250714/E-BYBITSPOT/IDDI_ca4f8f42__BTCUSDT.csv.gz,358844,True,80825c4826a67095acaf59ccced1bbbf34773c956eb87c23c5ff0903951acec3
W-6,20250714,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250714/E-BITGET/IDDI_43fb11bf__BTCUSDT.csv.gz,7762280,True,4be794da65a6c7bd1ff53ba6f6a2b401304c0869d94a6b93f631ff1e94716bb4
W-6,20250715,COINBASE,BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250715/E-COINBASE/IDDI_ffb63145__BTC_USD.csv.gz,68928849,True,bc0788fd6cfbe8876bc729dc3e71cbbee02e51fa3761d8787002cfc2fa417e18
W-6,20250715,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250715/E-BINANCE/IDDI_99764db3__BTCUSDT.csv.gz,146646265,True,6b939fd60c99f5240148a405315edb6a3b2e6a8af27b23b0e3b1144637f46872
W-6,20250715,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250715/E-BYBITSPOT/IDDI_5542a945__BTCUSDT.csv.gz,230666,True,c91df91961db2e4fe704b5da673c0516e567ec477165b1064089225dd1b884ef
W-6,20250715,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250715/E-BITGET/IDDI_15d3bc4f__BTCUSDT.csv.gz,8820767,True,a7879bd3b537221cb6782d9dd729b94d554442f0c46e74693fde89c5b0af2aeb
W-6,20250716,COINBASE,BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250716/E-COINBASE/IDDI_c71a30f9__BTC_USD.csv.gz,36964767,True,6c6f2acab3146f424f533334c2b1cc10a5109181671d9322f20c6a1deac43f22
W-6,20250716,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250716/E-BINANCE/IDDI_a252e314__BTCUSDT.csv.gz,94248820,True,9209bb89e594ccc40bf23a8f458a25807c0418b47e7076964e1003fb230acfdf
W-6,20250716,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250716/E-BYBITSPOT/IDDI_de61a508__BTCUSDT.csv.gz,424591,True,a87144a38545aaaa1b00c63f5ba48081d577eaa7867307536acdcd35279d8eff
W-6,20250716,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250716/E-BITGET/IDDI_6694bf1e__BTCUSDT.csv.gz,6172999,True,c58651702d28d22d5256146eba92402974905aa75edb09e21fb1588438decb0e
W-6,20250717,COINBASE,BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250717/E-COINBASE/IDDI_7b283ec5__BTC_USD.csv.gz,37728773,True,a05882c64c4f830b8a4b1da99af6bba85604c08b042bb1136acd20fd872fc5d4
W-6,20250717,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250717/E-BINANCE/IDDI_71f4a849__BTCUSDT.csv.gz,91528325,True,f4b6d260e87c82c7a65d6142fafd43c193b8d8eba3546478e3ad8d4fc4c15324
W-6,20250717,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250717/E-BYBITSPOT/IDDI_3ef39ea3__BTCUSDT.csv.gz,230455,True,3c40623af0fe6ca028209aa4a93a1e23398747bf9f49e5c68da428235921861a
W-6,20250717,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250717/E-BITGET/IDDI_7eba2b5e__BTCUSDT.csv.gz,7006905,True,32a36f65b1b05ec1bb43c56efbaf913f72ed5a5c2178e2adc59130c0b7bb731c
W-6,20250718,COINBASE,BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250718/E-COINBASE/IDDI_6b03ff85__BTC_USD.csv.gz,44741854,True,dea326670f309adc6ed003bb556e899c11584cbf38dc0c9bca5913e277c69675
W-6,20250718,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250718/E-BINANCE/IDDI_baec4221__BTCUSDT.csv.gz,108505677,True,ed751cc33ed2a005181f41dc5ad6202bfee54b0a0cf1c921e827e8281c5cfdaf
W-6,20250718,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250718/E-BYBITSPOT/IDDI_612124ea__BTCUSDT.csv.gz,125870,True,2a5aaee9d1b6a7d645fffe9d20d7faa783c9002439c36a0616c0257f52dd17d2
W-6,20250718,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250718/E-BITGET/IDDI_9b70324d__BTCUSDT.csv.gz,8100861,True,e99650b51783e2cbdd4dccd5e724d8bdcb51d71adf541e51644a8451e7409cd5
W-6,20250719,COINBASE,BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250719/E-COINBASE/IDDI_a8222272__BTC_USD.csv.gz,24797129,True,dbe26a6a479767c69dbde05c3e1a31811155946c9c50edcfa9d30cf0e20143c5
W-6,20250719,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250719/E-BINANCE/IDDI_e93d9c96__BTCUSDT.csv.gz,44460934,True,f6b313dc9cfee912ffbc73f1d7d71d05a9d9f6d19caddb017375ecc5d17d622a
W-6,20250719,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250719/E-BYBITSPOT/IDDI_dd6a9008__BTCUSDT.csv.gz,106925,True,7e17bf649083cc4bd7084b2a212a13b254a0b0cf91a112e314a57f8061a3a41f
W-6,20250719,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250719/E-BITGET/IDDI_8d83be43__BTCUSDT.csv.gz,2718303,True,4f0a002daaf41866b9a807f23137c65c841263a7b1a4f0abc5eec1acf19d4501
W-6,20250720,COINBASE,BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250720/E-COINBASE/IDDI_49e968ba__BTC_USD.csv.gz,20114050,True,69bf6ef2efb6c0e910dbc825746e81c4bf9201203b13752231edf2f789cc957b
W-6,20250720,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250720/E-BINANCE/IDDI_add07785__BTCUSDT.csv.gz,63062406,True,f0c915e3bb850326cf60300c8596c07ebdcd344478b2805e24f713a92ce24d4a
W-6,20250720,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250720/E-BYBITSPOT/IDDI_ccf48bc2__BTCUSDT.csv.gz,124526,True,fdf19ed4c9ace72fcf4327ca34f299842742361e60265ac543ef14c522233d0d
W-6,20250720,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250720/E-BITGET/IDDI_23528582__BTCUSDT.csv.gz,4493073,True,ac00eecbece31c613a9fb151f2016d88f9b7d8a2feccc4e111ac815b8038cf34
W-5,20250722,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BINANCE_20250722_BTCUSDT.csv.gz,132025635,True,90916056dcb423c16a9043b4bcb64d5598d7b7aafdc3b1bd3c3e2ddf6ba75b75
W-5,20250722,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BYBITSPOT_20250722_BTCUSDT.csv.gz,34726440,True,6af42355eee7e7dc2b1c9176a72768797dc0487e7f95b3927aebf807cb61521c
W-5,20250722,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BITGET_20250722_BTCUSDT.csv.gz,12472136,True,192c655bd3fec350d17d764fe6a0df81c775e98d4e045ad60a2ec534de244bfb
W-5,20250723,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BINANCE_20250723_BTCUSDT.csv.gz,118009423,True,04c6d4110026bc50c05326e50eb7acf083dcad09c5bb4e92d48d7788823f4f3a
W-5,20250723,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BYBITSPOT_20250723_BTCUSDT.csv.gz,27954989,True,d9ae2f9419cdc70bf0e7f1930c7a35a6ad735a1452d3f06fc6b5c82de0a2322c
W-5,20250723,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BITGET_20250723_BTCUSDT.csv.gz,8145767,True,e04ee761e13a734e224fee2c01874c7e6b07646306dd7ed17708fa85bfc72769
W-5,20250724,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BINANCE_20250724_BTCUSDT.csv.gz,147907777,True,0fd28885806bbbb05670836596f7c7de9cad0498e4a938f8417ec0954c67d2f9
W-5,20250724,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BYBITSPOT_20250724_BTCUSDT.csv.gz,28615482,True,dd0c1df69db964dd838962ddb0d50873df314dab33d3b966abae7843f64ac309
W-5,20250724,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BITGET_20250724_BTCUSDT.csv.gz,18263568,True,ceec9cd86da918c675cf80c05b78adfb0e2ed65023bd6a6f5e5787ccda8643ca
W-5,20250725,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BINANCE_20250725_BTCUSDT.csv.gz,164816484,True,72654eebcb0641a0333ae9d84fa0163df73d17a85e7caf8f6b2b30efa6c539cd
W-5,20250725,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BYBITSPOT_20250725_BTCUSDT.csv.gz,44203439,True,048781ad8599f88e51277fc9cf066f2f17d7df96492d347c48809c6bcb7660c5
W-5,20250725,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BITGET_20250725_BTCUSDT.csv.gz,19356481,True,0b3ff58c354b50ba0f5bd12168ebe068a75e714a522179f010f2b5e562a37dcb
W-5,20250726,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BINANCE_20250726_BTCUSDT.csv.gz,102516611,True,cfa072bfbc578e85ae04f92d8d7732f7c969d60430f84aa03f89b3b14ca7951b
W-5,20250726,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BYBITSPOT_20250726_BTCUSDT.csv.gz,11102234,True,4e73a854ebaeca6553ad25e223c6601a61bbec9a7592cc20b51221639101deab
W-5,20250726,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BITGET_20250726_BTCUSDT.csv.gz,12535793,True,0fdeb04f5e384f84901efab06571c427cbef55cb486b52a6519f1ed43f11b56f
W-5,20250727,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BINANCE_20250727_BTCUSDT.csv.gz,116181392,True,d1bc73b60ac1a927fc990f3328ca00a4e4bff8dd4bc75dd0d1a80267774b98aa
W-5,20250727,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BYBITSPOT_20250727_BTCUSDT.csv.gz,11887386,True,3fb542c61405ae07fa15da55939603e03f70f9a4a4efb4b26655fb393e6f28fb
W-5,20250727,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BITGET_20250727_BTCUSDT.csv.gz,16104208,True,3ffc8538a8f82bf5af010df11a06d60a2e76cdc865d3cf019ec9189d100bf37b
W4,20250922,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BINANCE_20250922_BTCUSDT.csv.gz,190657779,True,d7713d76149ee9ef139c200883e366b1c07e76799ce258bf75a6e5559b910aff
W4,20250922,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BYBITSPOT_20250922_BTCUSDT.csv.gz,25956974,True,cf71690954404efaf327a4fed13ceb18e0d15cba3a1020ec08132f1c2c9a81cb
W4,20250922,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BITGET_20250922_BTCUSDT.csv.gz,24149919,True,d217caaba0d058e2a7d6ee2846fa86b6d00e320a782a9a50a7d2dc337bba447e
W4,20250923,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BINANCE_20250923_BTCUSDT.csv.gz,130179220,True,33d608e657cf441f7f3415d0a0d8ae300d0569222dce2b598c71ca81c90d15f8
