week,date,venue,pair,reason
W-7,20250707,COINBASE,BTC-USD,File not found in any directory
W-7,20250707,BINANCE,BTCUSDT,File not found in any directory
W-7,20250707,BYBITSPOT,BTCUSDT,File not found in any directory
W-7,20250707,BITGET,BTCUSDT,File not found in any directory
W-7,20250708,COINBASE,BTC-USD,File not found in any directory
W-7,20250708,BINANCE,BTCUSDT,File not found in any directory
W-7,20250708,BYBITSPOT,BTCUSDT,File not found in any directory
W-7,20250708,BITGET,BTCUSDT,File not found in any directory
W-7,20250709,COINBASE,BTC-USD,File not found in any directory
W-7,20250709,BINANCE,BTCUSDT,File not found in any directory
W-7,20250709,BYBITSPOT,BTCUSDT,File not found in any directory
W-7,20250709,BITGET,BTCUSDT,File not found in any directory
W-7,20250710,COINBASE,BTC-USD,File not found in any directory
W-7,20250710,BINANCE,BTCUSDT,File not found in any directory
W-7,20250710,BYBITSPOT,BTCUSDT,File not found in any directory
W-7,20250710,BITGET,BTCUSDT,File not found in any directory
W-7,20250711,COINBASE,BTC-USD,File not found in any directory
W-7,20250711,BINANCE,BTCUSDT,File not found in any directory
W-7,20250711,BYBITSPOT,BTCUSDT,File not found in any directory
W-7,20250711,BITGET,BTCUSDT,File not found in any directory
W-7,20250712,COINBASE,BTC-USD,File not found in any directory
W-7,20250712,BINANCE,BTCUSDT,File not found in any directory
W-7,20250712,BYBITSPOT,BTCUSDT,File not found in any directory
W-7,20250712,BITGET,BTCUSDT,File not found in any directory
W-7,20250713,COINBASE,BTC-USD,File not found in any directory
W-7,20250713,BINANCE,BTCUSDT,File not found in any directory
W-7,20250713,BYBITSPOT,BTCUSDT,File not found in any directory
W-7,20250713,BITGET,BTCUSDT,File not found in any directory
W-5,20250721,COINBASE,BTC-USD,File not found in any directory
W-5,20250721,BINANCE,BTCUSDT,File not found in any directory
W-5,20250721,BYBITSPOT,BTCUSDT,File not found in any directory
W-5,20250721,BITGET,BTCUSDT,File not found in any directory
W-5,20250722,COINBASE,BTC-USD,File not found in any directory
W-5,20250723,COINBASE,BTC-USD,File not found in any directory
W-5,20250724,COINBASE,BTC-USD,File not found in any directory
W-5,20250725,COINBASE,BTC-USD,File not found in any directory
W-5,20250726,COINBASE,BTC-USD,File not found in any directory
W-5,20250727,COINBASE,BTC-USD,File not found in any directory
