date,venue,key,abs_path,size_bytes,sha256,week_label,pair,rel_path,file_path,format,gzip_valid,bytes
20250721,COINBASE,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250721/E-COINBASE/IDDI_56019e3b__BTC_USD.csv.gz,32046198,53d6865054f2119972e93caab7648d5f9fdc58b297e47242a272b450cc918dd9,W5,BTC-USD,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250721/E-COINBASE/IDDI_56019e3b__BTC_USD.csv.gz,new_v7,True,32046198
20250721,BINANCE,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250721/E-BINANCE/IDDI_1c516390__BTCUSDT.csv.gz,96986133,5414779fcfd8253dee0f5573db28a88ab61944ec3cec27503344f48916aefe86,W5,BTCUSDT,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250721/E-BINANCE/IDDI_1c516390__BTCUSDT.csv.gz,new_v7,True,96986133
20250721,BYBITSPOT,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250721/E-BYBITSPOT/IDDI_e33424bc__BTCUSDT.csv.gz,168367,282640abe9119c7d547eff1c9dda390855c088b5f3786055529820e55bb92a87,W5,BTCUSDT,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250721/E-BYBITSPOT/IDDI_e33424bc__BTCUSDT.csv.gz,new_v7,True,168367
20250721,BITGET,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250721/E-BITGET/IDDI_f84f7767__BTCUSDT.csv.gz,9092891,17292d1d100dd11ffede95e46c59903a77ecc3f2ce31799654261c2ac985ae07,W5,BTCUSDT,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250721/E-BITGET/IDDI_f84f7767__BTCUSDT.csv.gz,new_v7,True,9092891
20250722,COINBASE,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250722/E-COINBASE/IDDI_24d70016__BTC_USD.csv.gz,33423988,3cd955930dc3af70408508fbe915fe2b2b60d5ebe6694d1bf3995294daac2c6e,W5,BTC-USD,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250722/E-COINBASE/IDDI_24d70016__BTC_USD.csv.gz,new_v7,True,33423988
20250722,BINANCE,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BINANCE_20250722_BTCUSDT.csv.gz,132025635,90916056dcb423c16a9043b4bcb64d5598d7b7aafdc3b1bd3c3e2ddf6ba75b75,W5,BTCUSDT,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BINANCE_20250722_BTCUSDT.csv.gz,legacy_v6,True,132025635
20250722,BYBITSPOT,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BYBITSPOT_20250722_BTCUSDT.csv.gz,34726440,6af42355eee7e7dc2b1c9176a72768797dc0487e7f95b3927aebf807cb61521c,W5,BTCUSDT,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BYBITSPOT_20250722_BTCUSDT.csv.gz,legacy_v6,True,34726440
20250722,BITGET,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BITGET_20250722_BTCUSDT.csv.gz,12472136,192c655bd3fec350d17d764fe6a0df81c775e98d4e045ad60a2ec534de244bfb,W5,BTCUSDT,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BITGET_20250722_BTCUSDT.csv.gz,legacy_v6,True,12472136
20250723,COINBASE,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250723/E-COINBASE/IDDI_58a6bb76__BTC_USD.csv.gz,28872167,e5ef94237bd9dfb3864a2d9ba77e75f0fbda05058568ad42a76167bbf1ef3d07,W5,BTC-USD,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250723/E-COINBASE/IDDI_58a6bb76__BTC_USD.csv.gz,new_v7,True,28872167
20250723,BINANCE,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BINANCE_20250723_BTCUSDT.csv.gz,118009423,04c6d4110026bc50c05326e50eb7acf083dcad09c5bb4e92d48d7788823f4f3a,W5,BTCUSDT,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BINANCE_20250723_BTCUSDT.csv.gz,legacy_v6,True,118009423
20250723,BYBITSPOT,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BYBITSPOT_20250723_BTCUSDT.csv.gz,27954989,d9ae2f9419cdc70bf0e7f1930c7a35a6ad735a1452d3f06fc6b5c82de0a2322c,W5,BTCUSDT,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BYBITSPOT_20250723_BTCUSDT.csv.gz,legacy_v6,True,27954989
20250723,BITGET,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BITGET_20250723_BTCUSDT.csv.gz,8145767,e04ee761e13a734e224fee2c01874c7e6b07646306dd7ed17708fa85bfc72769,W5,BTCUSDT,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BITGET_20250723_BTCUSDT.csv.gz,legacy_v6,True,8145767
20250724,COINBASE,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250724/E-COINBASE/IDDI_7254de3e__BTC_USD.csv.gz,30037426,79ad97d782ddd0433c70467ae7b3b8da6f21ab38aa68a3f2b81c085ca0ff04b4,W5,BTC-USD,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250724/E-COINBASE/IDDI_7254de3e__BTC_USD.csv.gz,new_v7,True,30037426
20250724,BINANCE,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BINANCE_20250724_BTCUSDT.csv.gz,147907777,0fd28885806bbbb05670836596f7c7de9cad0498e4a938f8417ec0954c67d2f9,W5,BTCUSDT,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BINANCE_20250724_BTCUSDT.csv.gz,legacy_v6,True,147907777
20250724,BYBITSPOT,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BYBITSPOT_20250724_BTCUSDT.csv.gz,28615482,dd0c1df69db964dd838962ddb0d50873df314dab33d3b966abae7843f64ac309,W5,BTCUSDT,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BYBITSPOT_20250724_BTCUSDT.csv.gz,legacy_v6,True,28615482
20250724,BITGET,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BITGET_20250724_BTCUSDT.csv.gz,18263568,ceec9cd86da918c675cf80c05b78adfb0e2ed65023bd6a6f5e5787ccda8643ca,W5,BTCUSDT,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BITGET_20250724_BTCUSDT.csv.gz,legacy_v6,True,18263568
20250725,COINBASE,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250725/E-COINBASE/IDDI_1bfa6bd1__BTC_USD.csv.gz,58962149,48d3488cc484bd1314f69ee6839e81fa0abc812ef46bcb4d8c3b251780cf717b,W5,BTC-USD,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250725/E-COINBASE/IDDI_1bfa6bd1__BTC_USD.csv.gz,new_v7,True,58962149
20250725,BINANCE,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BINANCE_20250725_BTCUSDT.csv.gz,164816484,72654eebcb0641a0333ae9d84fa0163df73d17a85e7caf8f6b2b30efa6c539cd,W5,BTCUSDT,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BINANCE_20250725_BTCUSDT.csv.gz,legacy_v6,True,164816484
20250725,BYBITSPOT,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BYBITSPOT_20250725_BTCUSDT.csv.gz,44203439,048781ad8599f88e51277fc9cf066f2f17d7df96492d347c48809c6bcb7660c5,W5,BTCUSDT,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BYBITSPOT_20250725_BTCUSDT.csv.gz,legacy_v6,True,44203439
20250725,BITGET,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BITGET_20250725_BTCUSDT.csv.gz,19356481,0b3ff58c354b50ba0f5bd12168ebe068a75e714a522179f010f2b5e562a37dcb,W5,BTCUSDT,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BITGET_20250725_BTCUSDT.csv.gz,legacy_v6,True,19356481
20250726,COINBASE,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250726/E-COINBASE/IDDI_9a8400e2__BTC_USD.csv.gz,27302863,e2bafc4dab8de9f761826916cb8f587b2ee4e62afbed7bf005f0bf340c4cc895,W5,BTC-USD,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250726/E-COINBASE/IDDI_9a8400e2__BTC_USD.csv.gz,new_v7,True,27302863
20250726,BINANCE,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BINANCE_20250726_BTCUSDT.csv.gz,102516611,cfa072bfbc578e85ae04f92d8d7732f7c969d60430f84aa03f89b3b14ca7951b,W5,BTCUSDT,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BINANCE_20250726_BTCUSDT.csv.gz,legacy_v6,True,102516611
20250726,BYBITSPOT,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BYBITSPOT_20250726_BTCUSDT.csv.gz,11102234,4e73a854ebaeca6553ad25e223c6601a61bbec9a7592cc20b51221639101deab,W5,BTCUSDT,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BYBITSPOT_20250726_BTCUSDT.csv.gz,legacy_v6,True,11102234
20250726,BITGET,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BITGET_20250726_BTCUSDT.csv.gz,12535793,0fdeb04f5e384f84901efab06571c427cbef55cb486b52a6519f1ed43f11b56f,W5,BTCUSDT,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BITGET_20250726_BTCUSDT.csv.gz,legacy_v6,True,12535793
20250727,COINBASE,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250727/E-COINBASE/IDDI_55b643ff__BTC_USD.csv.gz,20705702,6fdd3e2864b527fbdf6982763a6eed2b1928b95052620c841e6562f8da173054,W5,BTC-USD,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250727/E-COINBASE/IDDI_55b643ff__BTC_USD.csv.gz,new_v7,True,20705702
20250727,BINANCE,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BINANCE_20250727_BTCUSDT.csv.gz,116181392,d1bc73b60ac1a927fc990f3328ca00a4e4bff8dd4bc75dd0d1a80267774b98aa,W5,BTCUSDT,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BINANCE_20250727_BTCUSDT.csv.gz,legacy_v6,True,116181392
20250727,BYBITSPOT,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BYBITSPOT_20250727_BTCUSDT.csv.gz,11887386,3fb542c61405ae07fa15da55939603e03f70f9a4a4efb4b26655fb393e6f28fb,W5,BTCUSDT,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BYBITSPOT_20250727_BTCUSDT.csv.gz,legacy_v6,True,11887386
20250727,BITGET,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BITGET_20250727_BTCUSDT.csv.gz,16104208,3ffc8538a8f82bf5af010df11a06d60a2e76cdc865d3cf019ec9189d100bf37b,W5,BTCUSDT,,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BITGET_20250727_BTCUSDT.csv.gz,legacy_v6,True,16104208
