date,venue,pair,file_path,format,size_bytes,gzip_valid,sha256
20250721,COINBASE,BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250721/E-COINBASE/IDDI_56019e3b__BTC_USD.csv.gz,new_v7,32046198,True,53d6865054f2119972e93caab7648d5f9fdc58b297e47242a272b450cc918dd9
20250721,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250721/E-BINANCE/IDDI_1c516390__BTCUSDT.csv.gz,new_v7,96986133,True,5414779fcfd8253dee0f5573db28a88ab61944ec3cec27503344f48916aefe86
20250721,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250721/E-BYBITSPOT/IDDI_e33424bc__BTCUSDT.csv.gz,new_v7,168367,True,282640abe9119c7d547eff1c9dda390855c088b5f3786055529820e55bb92a87
20250721,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250721/E-BITGET/IDDI_f84f7767__BTCUSDT.csv.gz,new_v7,9092891,True,17292d1d100dd11ffede95e46c59903a77ecc3f2ce31799654261c2ac985ae07
20250722,COINBASE,BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250722/E-COINBASE/IDDI_24d70016__BTC_USD.csv.gz,new_v7,33423988,True,3cd955930dc3af70408508fbe915fe2b2b60d5ebe6694d1bf3995294daac2c6e
20250722,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BINANCE_20250722_BTCUSDT.csv.gz,legacy_v6,132025635,True,90916056dcb423c16a9043b4bcb64d5598d7b7aafdc3b1bd3c3e2ddf6ba75b75
20250722,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BYBITSPOT_20250722_BTCUSDT.csv.gz,legacy_v6,34726440,True,6af42355eee7e7dc2b1c9176a72768797dc0487e7f95b3927aebf807cb61521c
20250722,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BITGET_20250722_BTCUSDT.csv.gz,legacy_v6,12472136,True,192c655bd3fec350d17d764fe6a0df81c775e98d4e045ad60a2ec534de244bfb
20250723,COINBASE,BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250723/E-COINBASE/IDDI_58a6bb76__BTC_USD.csv.gz,new_v7,28872167,True,e5ef94237bd9dfb3864a2d9ba77e75f0fbda05058568ad42a76167bbf1ef3d07
20250723,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BINANCE_20250723_BTCUSDT.csv.gz,legacy_v6,118009423,True,04c6d4110026bc50c05326e50eb7acf083dcad09c5bb4e92d48d7788823f4f3a
20250723,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BYBITSPOT_20250723_BTCUSDT.csv.gz,legacy_v6,27954989,True,d9ae2f9419cdc70bf0e7f1930c7a35a6ad735a1452d3f06fc6b5c82de0a2322c
20250723,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BITGET_20250723_BTCUSDT.csv.gz,legacy_v6,8145767,True,e04ee761e13a734e224fee2c01874c7e6b07646306dd7ed17708fa85bfc72769
20250724,COINBASE,BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250724/E-COINBASE/IDDI_7254de3e__BTC_USD.csv.gz,new_v7,30037426,True,79ad97d782ddd0433c70467ae7b3b8da6f21ab38aa68a3f2b81c085ca0ff04b4
20250724,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BINANCE_20250724_BTCUSDT.csv.gz,legacy_v6,147907777,True,0fd28885806bbbb05670836596f7c7de9cad0498e4a938f8417ec0954c67d2f9
20250724,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BYBITSPOT_20250724_BTCUSDT.csv.gz,legacy_v6,28615482,True,dd0c1df69db964dd838962ddb0d50873df314dab33d3b966abae7843f64ac309
20250724,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BITGET_20250724_BTCUSDT.csv.gz,legacy_v6,18263568,True,ceec9cd86da918c675cf80c05b78adfb0e2ed65023bd6a6f5e5787ccda8643ca
20250725,COINBASE,BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250725/E-COINBASE/IDDI_1bfa6bd1__BTC_USD.csv.gz,new_v7,58962149,True,48d3488cc484bd1314f69ee6839e81fa0abc812ef46bcb4d8c3b251780cf717b
20250725,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BINANCE_20250725_BTCUSDT.csv.gz,legacy_v6,164816484,True,72654eebcb0641a0333ae9d84fa0163df73d17a85e7caf8f6b2b30efa6c539cd
20250725,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BYBITSPOT_20250725_BTCUSDT.csv.gz,legacy_v6,44203439,True,048781ad8599f88e51277fc9cf066f2f17d7df96492d347c48809c6bcb7660c5
20250725,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BITGET_20250725_BTCUSDT.csv.gz,legacy_v6,19356481,True,0b3ff58c354b50ba0f5bd12168ebe068a75e714a522179f010f2b5e562a37dcb
20250726,COINBASE,BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250726/E-COINBASE/IDDI_9a8400e2__BTC_USD.csv.gz,new_v7,27302863,True,e2bafc4dab8de9f761826916cb8f587b2ee4e62afbed7bf005f0bf340c4cc895
20250726,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BINANCE_20250726_BTCUSDT.csv.gz,legacy_v6,102516611,True,cfa072bfbc578e85ae04f92d8d7732f7c969d60430f84aa03f89b3b14ca7951b
20250726,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BYBITSPOT_20250726_BTCUSDT.csv.gz,legacy_v6,11102234,True,4e73a854ebaeca6553ad25e223c6601a61bbec9a7592cc20b51221639101deab
20250726,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BITGET_20250726_BTCUSDT.csv.gz,legacy_v6,12535793,True,0fdeb04f5e384f84901efab06571c427cbef55cb486b52a6519f1ed43f11b56f
20250727,COINBASE,BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250727/E-COINBASE/IDDI_55b643ff__BTC_USD.csv.gz,new_v7,20705702,True,6fdd3e2864b527fbdf6982763a6eed2b1928b95052620c841e6562f8da173054
20250727,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BINANCE_20250727_BTCUSDT.csv.gz,legacy_v6,116181392,True,d1bc73b60ac1a927fc990f3328ca00a4e4bff8dd4bc75dd0d1a80267774b98aa
20250727,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BYBITSPOT_20250727_BTCUSDT.csv.gz,legacy_v6,11887386,True,3fb542c61405ae07fa15da55939603e03f70f9a4a4efb4b26655fb393e6f28fb
20250727,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_jul/BITGET_20250727_BTCUSDT.csv.gz,legacy_v6,16104208,True,3ffc8538a8f82bf5af010df11a06d60a2e76cdc865d3cf019ec9189d100bf37b
