date,venue,pair,reason
20250721,COINBASE,BTC-USD,File not found in any directory
20250721,BINANCE,BTCUSDT,File not found in any directory
20250721,BYBITSPOT,BTCUSDT,File not found in any directory
20250721,BITGET,BTCUSDT,File not found in any directory
20250722,COINBASE,BTC-USD,File not found in any directory
20250723,COINBASE,BTC-USD,File not found in any directory
20250724,COINBASE,BTC-USD,File not found in any directory
20250725,COINBASE,BTC-USD,File not found in any directory
20250726,COINBASE,BTC-USD,File not found in any directory
20250727,COINBASE,BTC-USD,File not found in any directory
