date,venue,key,abs_path,size_bytes,sha256
20250707,COINBASE,T-TRADES/D-20250707/E-COINBASE/IDDI-27576+SC-COINBASE_SPOT_BTC_USD+S-BTC__002DUSD.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250707/E-COINBASE/IDDI_6bc99d65__BTC-USD.csv.gz,25820939,46e2c5010cc23a1075d4c11f837ef5f0d679a57dbdc96f4a4299e07911a47356
20250707,COINBASE,T-TRADES/D-20250707/E-COINBASE/IDDI-5950967+SC-COINBASE_SPOT_BTC_USDT+S-BTC__002DUSDT.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250707/E-COINBASE/IDDI_b777a051__BTC-USD.csv.gz,760907,5894c365939de1bd1682ba7cd228c813b5e0dc40343c99d618411ecb5c5195aa
20250708,COINBASE,T-TRADES/D-20250708/E-COINBASE/IDDI-27576+SC-COINBASE_SPOT_BTC_USD+S-BTC__002DUSD.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250708/E-COINBASE/IDDI_2cb45db2__BTC-USD.csv.gz,23786134,66f568408e3dcc09d27c01af274b7157bad982295e39b9ad357a5052ab700287
20250708,COINBASE,T-TRADES/D-20250708/E-COINBASE/IDDI-5950967+SC-COINBASE_SPOT_BTC_USDT+S-BTC__002DUSDT.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250708/E-COINBASE/IDDI_4e74f670__BTC-USD.csv.gz,734406,f4b60c4b1cb66af2ae04340dda98bd45545f72fec275120a9bd150e036132a6c
20250709,COINBASE,T-TRADES/D-20250709/E-COINBASE/IDDI-27576+SC-COINBASE_SPOT_BTC_USD+S-BTC__002DUSD.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250709/E-COINBASE/IDDI_584179f1__BTC-USD.csv.gz,32502380,placeholder_sha256_1
20250709,COINBASE,T-TRADES/D-20250709/E-COINBASE/IDDI-5950967+SC-COINBASE_SPOT_BTC_USDT+S-BTC__002DUSDT.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250709/E-COINBASE/IDDI_4f750711__BTC-USD.csv.gz,1164653,placeholder_sha256_2
20250710,COINBASE,T-TRADES/D-20250710/E-COINBASE/IDDI-27576+SC-COINBASE_SPOT_BTC_USD+S-BTC__002DUSD.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250710/E-COINBASE/IDDI_b8e116bb__BTC-USD.csv.gz,41308286,placeholder_sha256_3
20250710,COINBASE,T-TRADES/D-20250710/E-COINBASE/IDDI-5950967+SC-COINBASE_SPOT_BTC_USDT+S-BTC__002DUSDT.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250710/E-COINBASE/IDDI_7d7621d9__BTC-USD.csv.gz,1983593,0656e4c5de690606c0d05fb79cf81d0b0e53fd1efa88b3aac4d09b4704dd378f
20250711,COINBASE,T-TRADES/D-20250711/E-COINBASE/IDDI-27576+SC-COINBASE_SPOT_BTC_USD+S-BTC__002DUSD.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250711/E-COINBASE/IDDI_e7faa80c__BTC-USD.csv.gz,47573558,placeholder_sha256_4
20250711,COINBASE,T-TRADES/D-20250711/E-COINBASE/IDDI-5950967+SC-COINBASE_SPOT_BTC_USDT+S-BTC__002DUSDT.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250711/E-COINBASE/IDDI_14afe107__BTC-USD.csv.gz,1949669,placeholder_sha256_5
20250712,COINBASE,T-TRADES/D-20250712/E-COINBASE/IDDI-27576+SC-COINBASE_SPOT_BTC_USD+S-BTC__002DUSD.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250712/E-COINBASE/IDDI_4cdc0510__BTC-USD.csv.gz,21806601,placeholder_sha256_6
20250712,COINBASE,T-TRADES/D-20250712/E-COINBASE/IDDI-5950967+SC-COINBASE_SPOT_BTC_USDT+S-BTC__002DUSDT.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250712/E-COINBASE/IDDI_bc2ff66e__BTC-USD.csv.gz,582028,placeholder_sha256_7
20250713,COINBASE,T-TRADES/D-20250713/E-COINBASE/IDDI-27576+SC-COINBASE_SPOT_BTC_USD+S-BTC__002DUSD.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250713/E-COINBASE/IDDI_4d5bce95__BTC-USD.csv.gz,24890509,placeholder_sha256_8
20250713,COINBASE,T-TRADES/D-20250713/E-COINBASE/IDDI-5950967+SC-COINBASE_SPOT_BTC_USDT+S-BTC__002DUSDT.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250713/E-COINBASE/IDDI_858d0332__BTC-USD.csv.gz,688682,placeholder_sha256_9
