key,losing_file,losing_tier,losing_size,winning_file,winning_tier,winning_size,reason
20250709_BYBITSPOT_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250709/BYBITSPOT/IDDI-6075118+SC-BYBITSPOT_SPOT_WBTC_USDT+S-WBTCUSDT.csv.gz,v7,195597,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250709/BYBITSPOT/IDDI-6072814+SC-BYBITSPOT_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,v7,22530846,Tier priority: v7 > v7
39450946_BYBITSPOT_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250710/BYBITSPOT/IDDI-39450946+SC-BYBITSPOT_SPOT_PUMPBTC_USDT+S-PUMPBTCUSDT.csv.gz,v7,1299564,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250711/BYBITSPOT/IDDI-39450946+SC-BYBITSPOT_SPOT_PUMPBTC_USDT+S-PUMPBTCUSDT.csv.gz,v7,1611173,Tier priority: v7 > v7
39450946_BYBITSPOT_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250709/BYBITSPOT/IDDI-39450946+SC-BYBITSPOT_SPOT_PUMPBTC_USDT+S-PUMPBTCUSDT.csv.gz,v7,190189,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250711/BYBITSPOT/IDDI-39450946+SC-BYBITSPOT_SPOT_PUMPBTC_USDT+S-PUMPBTCUSDT.csv.gz,v7,1611173,Tier priority: v7 > v7
39450946_BYBITSPOT_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/IDDI-39450946+SC-BYBITSPOT_SPOT_PUMPBTC_USDT+S-PUMPBTCUSDT.csv.gz,v7,106925,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250711/BYBITSPOT/IDDI-39450946+SC-BYBITSPOT_SPOT_PUMPBTC_USDT+S-PUMPBTCUSDT.csv.gz,v7,1611173,Tier priority: v7 > v7
39450946_BYBITSPOT_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250708/BYBITSPOT/IDDI-39450946+SC-BYBITSPOT_SPOT_PUMPBTC_USDT+S-PUMPBTCUSDT.csv.gz,v7,76582,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250711/BYBITSPOT/IDDI-39450946+SC-BYBITSPOT_SPOT_PUMPBTC_USDT+S-PUMPBTCUSDT.csv.gz,v7,1611173,Tier priority: v7 > v7
20250709_BITGET_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250709/BITGET/IDDI-6891663+SC-BITGET_SPOT_WBTC_USDT+S-WBTCUSDT.csv.gz,v7,119449,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250709/BITGET/IDDI-6891536+SC-BITGET_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,v7,2339521,Tier priority: v7 > v7
20250709_COINBASE_BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250709/E-COINBASE/IDDI_4f750711__BTC-USD.csv.gz,v7,1164653,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250709/E-COINBASE/IDDI_584179f1__BTC-USD.csv.gz,v7,32502380,Tier priority: v7 > v7
20250709_BINANCE_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250709/BINANCE/IDDI-6870353+SC-BINANCE_SPOT_WBTC_USDT+S-WBTCUSDT.csv.gz,v7,598357,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250709/BINANCE/IDDI-138123+SC-BINANCE_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,v7,89418242,Tier priority: v7 > v7
20250707_COINBASE_BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250707/E-COINBASE/IDDI_b777a051__BTC-USD.csv.gz,v7,760907,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250707/E-COINBASE/IDDI_6bc99d65__BTC-USD.csv.gz,v7,25820939,Tier priority: v7 > v7
20250708_BYBITSPOT_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250708/BYBITSPOT/IDDI-6075118+SC-BYBITSPOT_SPOT_WBTC_USDT+S-WBTCUSDT.csv.gz,v7,18212,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250708/BYBITSPOT/IDDI-6072814+SC-BYBITSPOT_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,v7,16158395,Tier priority: v7 > v7
20250708_BITGET_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250708/BITGET/IDDI-6891663+SC-BITGET_SPOT_WBTC_USDT+S-WBTCUSDT.csv.gz,v7,141817,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250708/BITGET/IDDI-6891536+SC-BITGET_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,v7,5639034,Tier priority: v7 > v7
20250708_COINBASE_BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250708/E-COINBASE/IDDI_4e74f670__BTC-USD.csv.gz,v7,734406,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250708/E-COINBASE/IDDI_2cb45db2__BTC-USD.csv.gz,v7,23786134,Tier priority: v7 > v7
20250708_BINANCE_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250708/BINANCE/IDDI-6870353+SC-BINANCE_SPOT_WBTC_USDT+S-WBTCUSDT.csv.gz,v7,344406,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250708/BINANCE/IDDI-138123+SC-BINANCE_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,v7,66224363,Tier priority: v7 > v7
20250712_COINBASE_BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250712/E-COINBASE/IDDI_bc2ff66e__BTC-USD.csv.gz,v7,582028,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250712/E-COINBASE/IDDI_4cdc0510__BTC-USD.csv.gz,v7,21806601,Tier priority: v7 > v7
20250713_COINBASE_BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250713/E-COINBASE/IDDI_858d0332__BTC-USD.csv.gz,v7,688682,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250713/E-COINBASE/IDDI_4d5bce95__BTC-USD.csv.gz,v7,24890509,Tier priority: v7 > v7
20250711_BYBITSPOT_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250711/BYBITSPOT/IDDI-6075118+SC-BYBITSPOT_SPOT_WBTC_USDT+S-WBTCUSDT.csv.gz,v7,47268,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250711/BYBITSPOT/IDDI-6072814+SC-BYBITSPOT_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,v7,33723136,Tier priority: v7 > v7
20250711_COINBASE_BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250711/E-COINBASE/IDDI_14afe107__BTC-USD.csv.gz,v7,1949669,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250711/E-COINBASE/IDDI_e7faa80c__BTC-USD.csv.gz,v7,47573558,Tier priority: v7 > v7
20250711_BINANCE_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250711/BINANCE/IDDI-6870353+SC-BINANCE_SPOT_WBTC_USDT+S-WBTCUSDT.csv.gz,v7,1036036,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250711/BINANCE/IDDI-138123+SC-BINANCE_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,v7,140409435,Tier priority: v7 > v7
20250710_BYBITSPOT_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250710/BYBITSPOT/IDDI-6075118+SC-BYBITSPOT_SPOT_WBTC_USDT+S-WBTCUSDT.csv.gz,v7,140839,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250710/BYBITSPOT/IDDI-6072814+SC-BYBITSPOT_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,v7,28045165,Tier priority: v7 > v7
20250710_BITGET_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250710/BITGET/IDDI-6891663+SC-BITGET_SPOT_WBTC_USDT+S-WBTCUSDT.csv.gz,v7,206300,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250710/BITGET/IDDI-6891536+SC-BITGET_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,v7,4192377,Tier priority: v7 > v7
20250710_COINBASE_BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250710/E-COINBASE/IDDI_7d7621d9__BTC-USD.csv.gz,v7,1983593,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250710/E-COINBASE/IDDI_b8e116bb__BTC-USD.csv.gz,v7,41308286,Tier priority: v7 > v7
20250710_BINANCE_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250710/BINANCE/IDDI-6870353+SC-BINANCE_SPOT_WBTC_USDT+S-WBTCUSDT.csv.gz,v7,751369,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250710/BINANCE/IDDI-138123+SC-BINANCE_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,v7,123519354,Tier priority: v7 > v7
20250928_BITGET_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BITGET_20250928_BTCUSDT.csv.gz,v4,7336598,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BITGET_20250928_BTCUSDT.csv.gz,v6,7336598,Tier priority: v6 > v4
20250927_BITGET_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BITGET_20250927_BTCUSDT.csv.gz,v4,4851370,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BITGET_20250927_BTCUSDT.csv.gz,v6,4851370,Tier priority: v6 > v4
20250926_BITGET_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BITGET_20250926_BTCUSDT.csv.gz,v4,9374436,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BITGET_20250926_BTCUSDT.csv.gz,v6,9374436,Tier priority: v6 > v4
20250923_BITGET_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BITGET_20250923_BTCUSDT.csv.gz,v4,15873032,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BITGET_20250923_BTCUSDT.csv.gz,v6,15873032,Tier priority: v6 > v4
20250924_BITGET_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BITGET_20250924_BTCUSDT.csv.gz,v4,14926326,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BITGET_20250924_BTCUSDT.csv.gz,v6,14926326,Tier priority: v6 > v4
20250925_BITGET_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BITGET_20250925_BTCUSDT.csv.gz,v4,13304669,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BITGET_20250925_BTCUSDT.csv.gz,v6,13304669,Tier priority: v6 > v4
20250922_BITGET_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BITGET_20250922_BTCUSDT.csv.gz,v4,24149919,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BITGET_20250922_BTCUSDT.csv.gz,v6,24149919,Tier priority: v6 > v4
20250923_BYBITSPOT_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BYBITSPOT_20250923_BTCUSDT.csv.gz,v4,30191701,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BYBITSPOT_20250923_BTCUSDT.csv.gz,v6,30191701,Tier priority: v6 > v4
20250925_BINANCE_BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/analysis/flatfiles_ticks_v4/raw/BINANCE_20250925_BTCUSDT.csv.gz,v4,215546421,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BINANCE_20250925_BTCUSDT.csv.gz,v6,215546421,Tier priority: v6 > v4
