date,venue,pair,source_tier,abs_path,bytes,sha256,first_ts,last_ts,row_count
20250707,BINANCE,BTCUSDT,v7,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/canonical/20250707/E-BINANCE/BTCUSDT.csv.gz,74300556,cd864fdabe805ad5f7d0023cb23b868f644312cbf40ad8cc41116a8d76dc4a2f,time_exchange;time_coinapi;guid;price;base_amount;taker_side;id_exch_guid;id_exch_int_inc;order_id_maker;order_id_taker,2025-07-07T23:59:59.9250000;2025-07-07T23:59:59.9280999;5d9a8690-efca-4fbc-8eec-ec8020770e48;108262.94;0.00813;SELL;;5068407516;;,1961938
20250707,BITGET,BTCUSDT,v7,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/canonical/20250707/E-BITGET/BTCUSDT.csv.gz,5776659,0aa9dbb61adf56dea21d960081e642d896ac2d4cba6046823a40142dc2ff144d,time_exchange;time_coinapi;guid;price;base_amount;taker_side;id_exch_guid;id_exch_int_inc;order_id_maker;order_id_taker,2025-07-07T23:59:58.9550000;2025-07-07T23:59:59.0857827;ae6002c8-872f-450a-b7d1-d6110444ee24;108272.3;0.000167;SELL;;;;,141123
20250707,BYBITSPOT,BTCUSDT,v7,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/canonical/20250707/E-BYBITSPOT/BTCUSDT.csv.gz,47452,5dc870d244ca56fb57b869fc147b8275e9b756c37b14c85c3ffcb72d00d0bb6e,time_exchange;time_coinapi;guid;price;base_amount;taker_side;id_exch_guid;id_exch_int_inc;order_id_maker;order_id_taker,2025-07-07T23:57:21.8900000;2025-07-07T23:57:21.9281443;06b40c1a-afd7-4888-a5a7-9ebfeb1c063f;0.0361;54.5;SELL;;;;,1109
20250707,COINBASE,BTC-USD,v7,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/canonical/20250707/E-COINBASE/BTC-USD.csv.gz,25820939,46e2c5010cc23a1075d4c11f837ef5f0d679a57dbdc96f4a4299e07911a47356,time_exchange;time_coinapi;guid;price;base_amount;taker_side;id_exch_guid;id_exch_int_inc;order_id_maker;order_id_taker,2025-07-07T23:59:59.2491530;2025-07-07T23:59:59.2535616;aa5d5f19-c98e-48b4-a7b4-ba3992b1f26b;108269.84;0.00395734;SELL;;845856540;231ed4aa-1cdb-4fac-9ae7-4e5e00c74445;8d1eccf3-6464-4384-bfb1-2836668a4024,336893
20250708,BINANCE,BTCUSDT,v7,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/canonical/20250708/E-BINANCE/BTCUSDT.csv.gz,66224363,670bd70426b567ae89bac7208951eaca7fa5897ad0af0d8a16d5566c2408445b,time_exchange;time_coinapi;guid;price;base_amount;taker_side;id_exch_guid;id_exch_int_inc;order_id_maker;order_id_taker,2025-07-08T23:59:58.0300000;2025-07-08T23:59:58.0329738;cde8db69-9b08-4cf5-9cfe-aaedc40f0976;108922.98;0.00026;SELL;;5070130760;;,1723245
20250708,BITGET,BTCUSDT,v7,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/canonical/20250708/E-BITGET/BTCUSDT.csv.gz,5639034,e8e67692067f4bae33867f24e74daef26709cafa85990d1dad8be9f185b62e94,time_exchange;time_coinapi;guid;price;base_amount;taker_side;id_exch_guid;id_exch_int_inc;order_id_maker;order_id_taker,2025-07-08T23:59:59.0640000;2025-07-08T23:59:59.8771703;71a5a09e-7eff-4eee-9904-f908d23e6d60;108923.01;0.000888;BUY;;;;,137663
20250708,BYBITSPOT,BTCUSDT,v7,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/canonical/20250708/E-BYBITSPOT/BTCUSDT.csv.gz,16158395,6ce2a199808191925aab61d9bb8fe214547249aa4a6a913941860b823a25108a,time_exchange;time_coinapi;guid;price;base_amount;taker_side;id_exch_guid;id_exch_int_inc;order_id_maker;order_id_taker,2025-07-08T23:59:59.5090000;2025-07-08T23:59:59.5477560;0f2d5ba1-31db-49dc-89c8-5c8c219114b2;108930.4;0.000585;BUY;;;;,458915
20250708,COINBASE,BTC-USD,v7,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/canonical/20250708/E-COINBASE/BTC-USD.csv.gz,23786134,66f568408e3dcc09d27c01af274b7157bad982295e39b9ad357a5052ab700287,time_exchange;time_coinapi;guid;price;base_amount;taker_side;id_exch_guid;id_exch_int_inc;order_id_maker;order_id_taker,2025-07-08T23:59:57.6041020;2025-07-08T23:59:57.6093015;685eee6f-39cb-46fa-918e-984aac1fb973;108958.04;0.00005145;BUY;;846167719;b527b85c-36e0-4f6b-af2c-bc9d45315750;79eef9c6-b815-40c7-9e6b-0da0780033f6,310948
20250709,BINANCE,BTCUSDT,v7,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/canonical/20250709/E-BINANCE/BTCUSDT.csv.gz,89418242,3e7a514038c9d9c21835a9926fe6c068906b3a5972c4348230315b914dcbe297,time_exchange;time_coinapi;guid;price;base_amount;taker_side;id_exch_guid;id_exch_int_inc;order_id_maker;order_id_taker,2025-07-09T23:59:59.9060000;2025-07-09T23:59:59.9089596;c5103a9f-2acc-4887-95a2-b1699c35a4e1;111233.99;0.00009;SELL;;5072459244;;,2328484
20250709,BITGET,BTCUSDT,v7,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/canonical/20250709/E-BITGET/BTCUSDT.csv.gz,2339521,9ffc38e508b1311839a61807c88de4f703ba28af40196764c1dd358177bb623c,time_exchange;time_coinapi;guid;price;base_amount;taker_side;id_exch_guid;id_exch_int_inc;order_id_maker;order_id_taker,2025-07-09T23:48:30.0200000;2025-07-09T23:48:30.1492206;678593b9-6d41-4c8d-9cb7-7c281fc020cb;111351.43;0.002903;SELL;;;;,59546
20250709,BYBITSPOT,BTCUSDT,v7,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/canonical/20250709/E-BYBITSPOT/BTCUSDT.csv.gz,22530846,44601e21bb905be69298b6590b370bdf377e789a4e98d2fdafd7b431449a5766,time_exchange;time_coinapi;guid;price;base_amount;taker_side;id_exch_guid;id_exch_int_inc;order_id_maker;order_id_taker,2025-07-09T23:59:59.0300000;2025-07-09T23:59:59.1680114;d6defafb-d9d8-4816-8169-52b83f58a23f;111256.3;0.000389;SELL;;;;,647196
20250709,COINBASE,BTC-USD,v7,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/canonical/20250709/E-COINBASE/BTC-USD.csv.gz,32502380,8318932b45142b34b0a138193bce043f38fd8a8736558de68e140cc947a8a208,time_exchange;time_coinapi;guid;price;base_amount;taker_side;id_exch_guid;id_exch_int_inc;order_id_maker;order_id_taker,2025-07-09T23:59:58.9724180;2025-07-09T23:59:58.9766301;a95cb627-9c65-47a7-8a48-285dbadb4ab9;111282.85;0.00004368;BUY;;846591199;b86d2cbb-f0c4-48d1-bd10-26b67ac43d86;fddae40b-1e94-435e-b468-8c45b6689493,423481
20250710,BINANCE,BTCUSDT,v7,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/canonical/20250710/E-BINANCE/BTCUSDT.csv.gz,123519354,34a3da1963189291913653ad08b7bfd41463f0f654509fd41357bfd772552117,time_exchange;time_coinapi;guid;price;base_amount;taker_side;id_exch_guid;id_exch_int_inc;order_id_maker;order_id_taker,2025-07-10T23:59:59.9520000;2025-07-11T00:00:00.0819811;0dde24e9-61a6-454c-acec-58cca36b621b;116010;0.00129;SELL;;5075686261;;,3227018
