Precheck Coverage Matrix
==================================================
Generated: 2025-10-12T07:55:52.025044Z
Date range: 20250707 to 39450946
Total dates: 98

Date       | BINANCE | BITGET | BYBITSPOT | COINBASE
--------------------------------------------------
20250707 |       ✓ |      ✓ |         ✓ |       ✓
20250708 |       ✓ |      ✓ |         ✓ |       ✓
20250709 |       ✓ |      ✓ |         ✓ |       ✓
20250710 |       ✓ |      ✓ |         ✓ |       ✓
20250711 |       ✓ |      ✓ |         ✓ |       ✓
20250712 |       ✓ |      ✓ |         ✓ |       ✓
20250713 |       ✓ |      ✓ |         ✓ |       ✓
20250714 |       ✓ |      ✓ |         ✓ |       ✓
20250715 |       ✓ |      ✓ |         ✓ |       ✓
20250716 |       ✓ |      ✓ |         ✓ |       ✓
20250717 |       ✓ |      ✓ |         ✓ |       ✓
20250718 |       ✓ |      ✓ |         ✓ |       ✓
20250719 |       ✓ |      ✓ |         ✓ |       ✓
20250720 |       ✓ |      ✓ |         ✓ |       ✓
20250721 |       ✓ |      ✓ |         ✓ |       ✓
20250722 |       ✓ |      ✓ |         ✓ |       ✓
20250723 |       ✓ |      ✓ |         ✓ |       ✓
20250724 |       ✓ |      ✓ |         ✓ |       ✓
20250725 |       ✓ |      ✓ |         ✓ |       ✓
20250726 |       ✓ |      ✓ |         ✓ |       ✓
20250727 |       ✓ |      ✓ |         ✓ |       ✓
20250728 |       ✓ |      ✓ |         ✓ |       ✓
20250729 |       ✓ |      ✓ |         ✓ |       ✓
20250730 |       ✓ |      ✓ |         ✓ |       ✓
20250731 |       ✓ |      ✓ |         ✓ |       ✓
20250801 |       ✓ |      ✓ |         ✓ |       ✓
20250802 |       ✓ |      ✓ |         ✓ |       ✓
20250803 |       ✓ |      ✓ |         ✓ |       ✓
20250804 |       ✓ |      ✓ |         ✓ |       ✓
20250805 |       ✓ |      ✓ |         ✓ |       ✓
20250806 |       ✓ |      ✓ |         ✓ |       ✓
20250807 |       ✓ |      ✓ |         ✓ |       ✓
20250808 |       ✓ |      ✓ |         ✓ |       ✓
20250809 |       ✓ |      ✓ |         ✓ |       ✓
20250810 |       ✓ |      ✓ |         ✓ |       ✓
20250811 |       ✓ |      ✓ |         ✓ |       ✓
20250812 |       ✓ |      ✓ |         ✓ |       ✓
20250813 |       ✓ |      ✓ |         ✓ |       ✓
20250814 |       ✓ |      ✓ |         ✓ |       ✓
20250815 |       ✓ |      ✓ |         ✓ |       ✓
20250816 |       ✓ |      ✓ |         ✓ |       ✓
20250817 |       ✓ |      ✓ |         ✓ |       ✓
20250818 |       ✓ |      ✓ |         ✓ |       ✓
20250819 |       ✓ |      ✓ |         ✓ |       ✓
20250820 |       ✓ |      ✓ |         ✓ |       ✓
20250821 |       ✓ |      ✓ |         ✓ |       ✓
20250822 |       ✓ |      ✓ |         ✓ |       ✓
20250823 |       ✓ |      ✓ |         ✓ |       ✓
20250824 |       ✓ |      ✓ |         ✓ |       ✓
20250825 |       ✓ |      ✓ |         ✓ |       ✓
20250826 |       ✓ |      ✓ |         ✓ |       ✓
20250827 |       ✓ |      ✓ |         ✓ |       ✓
20250828 |       ✓ |      ✓ |         ✓ |       ✓
20250829 |       ✓ |      ✓ |         ✓ |       ✓
20250830 |       ✓ |      ✓ |         ✓ |       ✓
20250831 |       ✓ |      ✓ |         ✓ |       ✓
20250901 |       ✓ |      ✓ |         ✓ |       ✓
20250902 |       ✓ |      ✓ |         ✓ |       ✓
20250903 |       ✓ |      ✓ |         ✓ |       ✓
20250904 |       ✓ |      ✓ |         ✓ |       ✓
20250905 |       ✓ |      ✓ |         ✓ |       ✓
20250906 |       ✓ |      ✓ |         ✓ |       ✓
20250907 |       ✓ |      ✓ |         ✓ |       ✓
20250908 |       ✓ |      ✓ |         ✓ |       ✓
20250909 |       ✓ |      ✓ |         ✓ |       ✓
20250910 |       ✓ |      ✓ |         ✓ |       ✓
20250911 |       ✓ |      ✓ |         ✓ |       ✓
20250912 |       ✓ |      ✓ |         ✓ |       ✓
