date,venue,pair,abs_path,size_bytes,sha256,source_format
20251007,COINBASE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/COINBASE_20251007_BTCUSDT.csv.gz,49420965,f0663c1e3b22745108295d5ba69a9d83ae8cc9c470105d1df526ff91d7e180e4,v6
20251010,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BITGET_20251010_BTCUSDT.csv.gz,34480526,8629d5599d1add6a21276a6a886920d044ba2a27bf39979ae51c0e7ac6add0d1,v6
20251008,COINBASE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/COINBASE_20251008_BTCUSDT.csv.gz,39551095,a226cf948fdc6febe287a9d303f7c860d295282229b7391f358e0296e0df54b3,v6
20251009,COINBASE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/COINBASE_20251009_BTCUSDT.csv.gz,40889219,6534920b41d56601dce087ce542e0dae928ec46792688c1724fb784403c5afa8,v6
20251006,COINBASE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/COINBASE_20251006_BTCUSDT.csv.gz,46580849,b2bcaf43a77e420f11e8c6783b06a1fdf1e905b617ec8ede14d6b6d57e8a4288,v6
20251006,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BITGET_20251006_BTCUSDT.csv.gz,12521952,c868628bc65e71907a410bf46a4e656e83c6e612ea993a01afa9167d692adf8f,v6
20251009,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BITGET_20251009_BTCUSDT.csv.gz,12539193,450d6373ed80e9168631dbcfebd9f6eb197efcffc9ffb7d3da49acb549bd362d,v6
20251008,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BITGET_20251008_BTCUSDT.csv.gz,11650222,7da892b66d820fcb9dd629a6e7b4b5fc084749684849f46fb4381ecf4f68bc58,v6
20251010,COINBASE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/COINBASE_20251010_BTCUSDT.csv.gz,96364340,eeb32a98c82edefd251dd3cd4506fb091bc2c7dcb39ab1136c35788905a0f1d1,v6
20251007,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BITGET_20251007_BTCUSDT.csv.gz,18657261,62f4059ef1b07539dcb710d1af1b5f9f8ee757218bdef064bd0e7a5aa19916a7,v6
20251008,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BINANCE_20251008_BTCUSDT.csv.gz,203834892,0361f64fd4b4892b6b2034028d99e52c6be25d2693b62c73c6f41ea05291d6d2,v6
20251006,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BYBITSPOT_20251006_BTCUSDT.csv.gz,39413782,d8d9d1f889d1fc9f2d05b1ba5eeda86606a6b61d1d483af9c2287a38871d25d1,v6
20251007,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BINANCE_20251007_BTCUSDT.csv.gz,215354920,a698e58ebd16a4d422c170dc4fae00b42b41d6d5592c6ceb017274a14fae4e24,v6
20251009,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BYBITSPOT_20251009_BTCUSDT.csv.gz,38835346,b2390ab3ae119583f1874b74d7a36f5bb12601f5d1ee1356d487b60c3fedbc08,v6
20251008,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BYBITSPOT_20251008_BTCUSDT.csv.gz,39252226,27d367cf905e3a30cde05a0083beb26c5313f1f42e7d55fa3e4bd45a7184ed46,v6
20251006,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BINANCE_20251006_BTCUSDT.csv.gz,205788441,522e193808f83ef125bae721908c3da5ef251a74746262edafa5de05530755e5,v6
20251007,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BYBITSPOT_20251007_BTCUSDT.csv.gz,44140246,5449148194b03b5948a7b937395652f160fab30507733d83b5a0550331e31ee0,v6
20251009,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BINANCE_20251009_BTCUSDT.csv.gz,207982691,b0ab685087f28de1cc9e2f58b3f8ecf66eb13fd21e386126c345cfa8e7aa1bca,v6
20251010,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BYBITSPOT_20251010_BTCUSDT.csv.gz,107699358,2ea7c66761c1b92d509d9b724ed6ac711238060d05527b34c4e1dac32f8d9e53,v6
20251010,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BINANCE_20251010_BTCUSDT.csv.gz,554961477,41e4ea5a71137a0d1bbbe1a8eb06c00369574eb041f5016386feb29352d2e62d,v6
