Week_Label,Date_Range,Files_Found,Expected_Files,Coverage_%,Source_Directories,Data_Size_MB
W+1,"Sep 1–7, 2025",28,28,100.0,v4(28),904.0
W+2,"Sep 8–14, 2025",27,28,96.4,v4(27),940.9
W+3,"Sep 15–21, 2025",26,28,92.9,v4(26),1127.8
W+4,"Sep 22–28, 2025",56,28,200.0,"v4(28), v6(28)",2936.9
W+5,"Sep 29–Oct 5, 2025",28,28,100.0,v6(28),1667.0
W+6,"Oct 6–12, 2025",20,28,71.4,v6(20),1926.3
W-1,"Aug 18–24, 2025",35,28,125.0,v4(35),1339.1
W-2,"Aug 11–17, 2025",35,28,125.0,v4(35),1394.9
W-3,"Aug 4–10, 2025",35,28,125.0,v4(35),1084.7
W-4,"Jul 28–Aug 3, 2025",17,28,60.7,v4(12),997.0
W-5,"Jul 21–27, 2025",27,28,96.4,"v6(24), v7(3)",1270.7
W-6,"Jul 14–20, 2025",8,28,28.6,v7(21),992.2
W-7,"Jul 7–13, 2025",10,28,35.7,v7(14),347.6
W0,"Aug 25–31, 2025",35,28,125.0,v4(35),1376.9
