venue,date,pair,filename,status,error
BINANCE,20250728,BTCUSDT,BINANCE_20250728_BTCUSDT.csv.gz,NO_FILES_AVAILABLE,No files found in CoinAPI listing
COINBASE,20250728,BTC-USD,COINBASE_20250728_BTC-USD.csv.gz,NO_FILES_AVAILABLE,No files found in CoinAPI listing
BYBITSPOT,20250728,BTCUSDT,BYBITSPOT_20250728_BTCUSDT.csv.gz,NO_FILES_AVAILABLE,No files found in CoinAPI listing
BITGET,20250728,BTCUSDT,BITGET_20250728_BTCUSDT.csv.gz,NO_FILES_AVAILABLE,No files found in CoinAPI listing
BINANCE,20250729,BTCUSDT,BINANCE_20250729_BTCUSDT.csv.gz,NO_FILES_AVAILABLE,No files found in CoinAPI listing
COINBASE,20250729,BTC-USD,COINBASE_20250729_BTC-USD.csv.gz,NO_FILES_AVAILABLE,No files found in CoinAPI listing
BYBITSPOT,20250729,BTCUSDT,BYBITSPOT_20250729_BTCUSDT.csv.gz,NO_FILES_AVAILABLE,No files found in CoinAPI listing
BITGET,20250729,BTCUSDT,BITGET_20250729_BTCUSDT.csv.gz,NO_FILES_AVAILABLE,No files found in CoinAPI listing
BINANCE,20250730,BTCUSDT,BINANCE_20250730_BTCUSDT.csv.gz,NO_FILES_AVAILABLE,No files found in CoinAPI listing
COINBASE,20250730,BTC-USD,COINBASE_20250730_BTC-USD.csv.gz,NO_FILES_AVAILABLE,No files found in CoinAPI listing
BYBITSPOT,20250730,BTCUSDT,BYBITSPOT_20250730_BTCUSDT.csv.gz,NO_FILES_AVAILABLE,No files found in CoinAPI listing
BITGET,20250730,BTCUSDT,BITGET_20250730_BTCUSDT.csv.gz,NO_FILES_AVAILABLE,No files found in CoinAPI listing
BINANCE,20250731,BTCUSDT,BINANCE_20250731_BTCUSDT.csv.gz,NO_FILES_AVAILABLE,No files found in CoinAPI listing
COINBASE,20250731,BTC-USD,COINBASE_20250731_BTC-USD.csv.gz,NO_FILES_AVAILABLE,No files found in CoinAPI listing
BYBITSPOT,20250731,BTCUSDT,BYBITSPOT_20250731_BTCUSDT.csv.gz,NO_FILES_AVAILABLE,No files found in CoinAPI listing
BITGET,20250731,BTCUSDT,BITGET_20250731_BTCUSDT.csv.gz,NO_FILES_AVAILABLE,No files found in CoinAPI listing
