venue,date,filename,file_path,size_bytes,sha256,source_key
BINANCE,20250728,BINANCE_20250728_BTCUSDT.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w4/BINANCE_20250728_BTCUSDT.csv.gz,70533294,fc2fa4b1148ad3649dea8fead8465534d37dcdd038af32f805ea2fed44aed126,T-TRADES/D-20250728/E-BINANCE/IDDI-138123+SC-BINANCE_SPOT_BTC_USDT+S-BTCUSDT.csv.gz
COINBASE,20250728,COINBASE_20250728_BTC-USD.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w4/COINBASE_20250728_BTC-USD.csv.gz,27288286,4203bef2b8596316338dcbd74eed8bfb61dc0c63064ee02dd7c2a27336c96c88,T-TRADES/D-20250728/E-COINBASE/IDDI-27576+SC-COINBASE_SPOT_BTC_USD+S-BTC__002DUSD.csv.gz
BYBITSPOT,20250728,BYBITSPOT_20250728_BTCUSDT.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w4/BYBITSPOT_20250728_BTCUSDT.csv.gz,19791865,247b9429d0811db3dbc9c9f69e46a534563677e0587f66f9a1f786381104ff1e,T-TRADES/D-20250728/E-BYBITSPOT/IDDI-6072814+SC-BYBITSPOT_SPOT_BTC_USDT+S-BTCUSDT.csv.gz
BITGET,20250728,BITGET_20250728_BTCUSDT.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w4/BITGET_20250728_BTCUSDT.csv.gz,19076795,67972370f4560ca013884731e2db442b41c339fc34e4efbf8b07e444363ad09d,T-TRADES/D-20250728/E-BITGET/IDDI-6891536+SC-BITGET_SPOT_BTC_USDT+S-BTCUSDT.csv.gz
BINANCE,20250729,BINANCE_20250729_BTCUSDT.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w4/BINANCE_20250729_BTCUSDT.csv.gz,75391964,b53f27b063038023dfee39ca0f6e3561bbf4a9319cfb3a4874517dbddb22c5f5,T-TRADES/D-20250729/E-BINANCE/IDDI-138123+SC-BINANCE_SPOT_BTC_USDT+S-BTCUSDT.csv.gz
COINBASE,20250729,COINBASE_20250729_BTC-USD.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w4/COINBASE_20250729_BTC-USD.csv.gz,28338093,340c57a6a470344180b160fcc8e3494bb4ffc23da47e4ca577cf66afb12a1be3,T-TRADES/D-20250729/E-COINBASE/IDDI-27576+SC-COINBASE_SPOT_BTC_USD+S-BTC__002DUSD.csv.gz
BYBITSPOT,20250729,BYBITSPOT_20250729_BTCUSDT.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w4/BYBITSPOT_20250729_BTCUSDT.csv.gz,20451096,2b775f1cd3ae37a1804a31b1bacdc83972136b88621422e18da6ae44c0a12cfa,T-TRADES/D-20250729/E-BYBITSPOT/IDDI-6072814+SC-BYBITSPOT_SPOT_BTC_USDT+S-BTCUSDT.csv.gz
BITGET,20250729,BITGET_20250729_BTCUSDT.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w4/BITGET_20250729_BTCUSDT.csv.gz,34526631,ea6daf59144cbd07d8f83a20a417858a7a6a4ef9d74e1165bc5a227d96f89173,T-TRADES/D-20250729/E-BITGET/IDDI-6891536+SC-BITGET_SPOT_BTC_USDT+S-BTCUSDT.csv.gz
BINANCE,20250730,BINANCE_20250730_BTCUSDT.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w4/BINANCE_20250730_BTCUSDT.csv.gz,76995061,672c9bfa7efc69866b1dc04876706a92271bdb59e3c7b0046987a3211acfceb2,T-TRADES/D-20250730/E-BINANCE/IDDI-138123+SC-BINANCE_SPOT_BTC_USDT+S-BTCUSDT.csv.gz
COINBASE,20250730,COINBASE_20250730_BTC-USD.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w4/COINBASE_20250730_BTC-USD.csv.gz,28988361,df41eb5cbcab652a0c254fd6515d74eaaac61d9af8c3ee6ebfeb7530ecfa0149,T-TRADES/D-20250730/E-COINBASE/IDDI-27576+SC-COINBASE_SPOT_BTC_USD+S-BTC__002DUSD.csv.gz
BYBITSPOT,20250730,BYBITSPOT_20250730_BTCUSDT.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w4/BYBITSPOT_20250730_BTCUSDT.csv.gz,23712818,8099f6a2ddf72a90466b259796326b802d531885dc1ba8dc9a22310f57730367,T-TRADES/D-20250730/E-BYBITSPOT/IDDI-6072814+SC-BYBITSPOT_SPOT_BTC_USDT+S-BTCUSDT.csv.gz
BITGET,20250730,BITGET_20250730_BTCUSDT.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w4/BITGET_20250730_BTCUSDT.csv.gz,11650144,42763735af9ae56a4693ec67240bcc8fa2cd4dbf6e828a1149b592d1338081ba,T-TRADES/D-20250730/E-BITGET/IDDI-6891536+SC-BITGET_SPOT_BTC_USDT+S-BTCUSDT.csv.gz
BINANCE,20250731,BINANCE_20250731_BTCUSDT.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w4/BINANCE_20250731_BTCUSDT.csv.gz,71918891,787b01c800cbe654ba67d8ad4ce8f569e528cff9e72feaee8eded8ee4881ee6b,T-TRADES/D-20250731/E-BINANCE/IDDI-138123+SC-BINANCE_SPOT_BTC_USDT+S-BTCUSDT.csv.gz
COINBASE,20250731,COINBASE_20250731_BTC-USD.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w4/COINBASE_20250731_BTC-USD.csv.gz,26354221,aab1cc3da5f40a840d2fa3126509f57e742d7fd47343ff9deacb3e138b9de445,T-TRADES/D-20250731/E-COINBASE/IDDI-27576+SC-COINBASE_SPOT_BTC_USD+S-BTC__002DUSD.csv.gz
BYBITSPOT,20250731,BYBITSPOT_20250731_BTCUSDT.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w4/BYBITSPOT_20250731_BTCUSDT.csv.gz,19249702,0500891d72e1146e4353cd0f2ebc07c3149cb45179393b1cc15b0afc15b7c037,T-TRADES/D-20250731/E-BYBITSPOT/IDDI-6072814+SC-BYBITSPOT_SPOT_BTC_USDT+S-BTCUSDT.csv.gz
