path,size_bytes,sha256,moved_utc
IDDI-27576+SC-COINBASE_SPOT_BTC_USD+S-BTC__002DUSD.csv.gz,24890509,2bbf97fe4e1f042b972c1349d0ce62f9e2c5ac0e8aef016a056bb362306f2296,2025-10-11T13:51:37.902371Z
IDDI-27577+SC-COINBASE_SPOT_BTC_EUR+S-BTC__002DEUR.csv.gz,2940728,99b5ad7e95f35db2c63325eccd9ed67831a39eb54af96f26a2f092745eb26ece,2025-10-11T13:51:37.910775Z
IDDI-27579+SC-COINBASE_SPOT_BTC_GBP+S-BTC__002DGBP.csv.gz,1015625,50a215388f689d5c8578301c83b7717f32a9a725f3cad81075ec4c0ef562d54b,2025-10-11T13:51:37.915343Z
IDDI-39450946+SC-BYBITSPOT_SPOT_PUMPBTC_USDT+S-PUMPBTCUSDT.csv.gz,358844,80825c4826a67095acaf59ccced1bbbf34773c956eb87c23c5ff0903951acec3,2025-10-11T13:51:37.917432Z
IDDI-27576+SC-COINBASE_SPOT_BTC_USD+S-BTC__002DUSD.csv.gz,52275150,37e8dc265a1c63d7931a53385c2713ddcb402f39109f7590c1612b1923de4808,2025-10-11T13:51:37.965125Z
IDDI-38151876+SC-BYBITSPOT_SPOT_BTC_USDQ+S-BTCUSDQ.csv.gz,4054,2d742d5dac71f1cfe005088e7c55722628186fa32cf2115ae24ed431db46fa13,2025-10-11T13:51:37.971551Z
IDDI-27577+SC-COINBASE_SPOT_BTC_EUR+S-BTC__002DEUR.csv.gz,6002273,86b4e4f1f22bc60f9e542a3912290f12530eb1758a661ae019dfad91b8ca615b,2025-10-11T13:51:37.977309Z
IDDI-6870353+SC-BINANCE_SPOT_WBTC_USDT+S-WBTCUSDT.csv.gz,1074901,e31b5840860610300fb828c1ba3dd09c940f1912734c5a590bf1293ab38004cb,2025-10-11T13:51:37.979944Z
IDDI-27579+SC-COINBASE_SPOT_BTC_GBP+S-BTC__002DGBP.csv.gz,1931010,12f4dcecc1ed8c956aa21140278a3b3092790e1e8da7965966cd6db93edc4a6b,2025-10-11T13:51:37.982556Z
IDDI-37002578+SC-BYBITSPOT_SPOT_BTC_USDE+S-BTCUSDE.csv.gz,39006,1aa62633779d63e9c9be7d72abbe4b0f1f64e38682918d4faf359ed7e40a834c,2025-10-11T13:51:37.983358Z
IDDI-5171075+SC-BINANCE_SPOT_BTC_USDC+S-BTCUSDC.csv.gz,22759257,4acc4633d26fde3f6a0f4a570f7872ac29bfe3ac19a193111d650678bcc6c441,2025-10-11T13:51:38.001421Z
IDDI-138123+SC-BINANCE_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,155244332,f85192acc5f1f608257e2858fb7a5df4f2b6850748315a511b6f482855e5b2a4,2025-10-11T13:51:38.135754Z
IDDI-37544374+SC-BITGET_SPOT_BTC_USDE+S-BTCUSDE.csv.gz,223491,146029e5a948af94825e0e60790888add34d365e258b67aaaec441a9d2a0004c,2025-10-11T13:51:38.168915Z
