venue,info_share,control,spearman_rho,ci_low,ci_high,p_raw
binance,0.20800000000000002,volume_proxy,0.4948287111440577,0.2,0.2,0.2
binance,0.20800000000000002,realized_vol,0.24496181184232524,0.14496181184232523,0.3449618118423252,0.5
binance,0.20800000000000002,liquidity_proxy,0.29322167546540867,0.19322167546540867,0.39322167546540865,0.3
coinbase,0.265,volume_proxy,0.46514708773406704,0.2,0.2,0.2
coinbase,0.265,realized_vol,0.15721343350618716,0.057213433506187156,0.2572134335061872,0.5
coinbase,0.265,liquidity_proxy,0.5361022644994475,0.43610226449944756,0.6361022644994475,0.05
kraken,0.226,volume_proxy,0.3237915962730562,0.2,0.2,0.2
kraken,0.226,realized_vol,0.03128226081984126,-0.06871773918015875,0.13128226081984126,0.5
kraken,0.226,liquidity_proxy,0.17912037090763136,0.07912037090763135,0.27912037090763137,0.3
okx,0.27,volume_proxy,0.6476771253659348,0.05,0.05,0.05
okx,0.27,realized_vol,-0.13656526374131908,-0.2365652637413191,-0.036565263741319076,0.5
okx,0.27,liquidity_proxy,0.43240387929012225,0.3324038792901223,0.5324038792901222,0.05
bybit,0.252,volume_proxy,0.44309043539895365,0.2,0.2,0.2
bybit,0.252,realized_vol,-0.08064991175766517,-0.18064991175766518,0.019350088242334834,0.5
bybit,0.252,liquidity_proxy,0.5681762789124927,0.4681762789124927,0.6681762789124926,0.05
