ts,venue,msgs_last_30s,last_tick_exchange_ts,last_tick_local_ts,lag_ms,gaps_last_30s
2025-09-26T21:38:17.499697,binance,4,1758915498025,1758915497328,0,0
2025-09-26T21:38:17.499697,coinbase,32,,,0,0
2025-09-26T21:38:17.499697,kraken,2,,,0,0
2025-09-26T21:38:17.499697,okx,26,,,0,0
2025-09-26T21:38:17.499697,bybit,14,,,0,0
2025-09-26T21:38:17.500987,binance,4,1758915498025,1758915497328,0,0
2025-09-26T21:38:17.500987,coinbase,32,,,0,0
2025-09-26T21:38:17.500987,kraken,2,,,0,0
2025-09-26T21:38:17.500987,okx,26,,,0,0
2025-09-26T21:38:17.500987,bybit,14,,,0,0
2025-09-26T21:38:17.501455,binance,4,1758915498025,1758915497328,0,0
2025-09-26T21:38:17.501455,coinbase,32,,,0,0
2025-09-26T21:38:17.501455,kraken,2,,,0,0
2025-09-26T21:38:17.501455,okx,26,,,0,0
2025-09-26T21:38:17.501455,bybit,14,,,0,0
2025-09-26T21:38:17.501894,binance,4,1758915498025,1758915497328,0,0
2025-09-26T21:38:17.501894,coinbase,32,,,0,0
2025-09-26T21:38:17.501894,kraken,2,,,0,0
2025-09-26T21:38:17.501894,okx,26,,,0,0
2025-09-26T21:38:17.501894,bybit,14,,,0,0
2025-09-26T21:38:17.502300,binance,4,1758915498025,1758915497328,0,0
2025-09-26T21:38:17.502300,coinbase,32,,,0,0
2025-09-26T21:38:17.502300,kraken,2,,,0,0
2025-09-26T21:38:17.502300,okx,26,,,0,0
2025-09-26T21:38:17.502300,bybit,14,,,0,0
2025-09-26T21:38:22.504081,binance,9,1758915503024,1758915502388,0,0
2025-09-26T21:38:22.504081,coinbase,42,,,0,0
2025-09-26T21:38:22.504081,kraken,2,,,0,0
2025-09-26T21:38:22.504081,okx,57,,,0,0
2025-09-26T21:38:22.504081,bybit,37,,,0,0
2025-09-26T21:38:22.504850,binance,9,1758915503024,1758915502388,0,0
2025-09-26T21:38:22.504850,coinbase,42,,,0,0
2025-09-26T21:38:22.504850,kraken,2,,,0,0
2025-09-26T21:38:22.504850,okx,57,,,0,0
2025-09-26T21:38:22.504850,bybit,37,,,0,0
2025-09-26T21:38:22.505294,binance,9,1758915503024,1758915502388,0,0
2025-09-26T21:38:22.505294,coinbase,42,,,0,0
2025-09-26T21:38:22.505294,kraken,2,,,0,0
2025-09-26T21:38:22.505294,okx,57,,,0,0
2025-09-26T21:38:22.505294,bybit,37,,,0,0
2025-09-26T21:38:22.505676,binance,9,1758915503024,1758915502388,0,0
2025-09-26T21:38:22.505676,coinbase,42,,,0,0
2025-09-26T21:38:22.505676,kraken,2,,,0,0
2025-09-26T21:38:22.505676,okx,57,,,0,0
2025-09-26T21:38:22.505676,bybit,37,,,0,0
2025-09-26T21:38:22.506020,binance,9,1758915503024,1758915502388,0,0
2025-09-26T21:38:22.506020,coinbase,42,,,0,0
2025-09-26T21:38:22.506020,kraken,2,,,0,0
2025-09-26T21:38:22.506020,okx,57,,,0,0
2025-09-26T21:38:22.506020,bybit,37,,,0,0
2025-09-26T21:38:27.508286,binance,14,1758915508024,1758915507327,0,0
2025-09-26T21:38:27.508286,coinbase,79,,,0,0
2025-09-26T21:38:27.508286,kraken,5,,,0,0
2025-09-26T21:38:27.508286,okx,83,,,0,0
2025-09-26T21:38:27.508286,bybit,58,,,0,0
2025-09-26T21:38:27.509298,binance,14,1758915508024,1758915507327,0,0
2025-09-26T21:38:27.509298,coinbase,79,,,0,0
2025-09-26T21:38:27.509298,kraken,5,,,0,0
2025-09-26T21:38:27.509298,okx,83,,,0,0
2025-09-26T21:38:27.509298,bybit,58,,,0,0
2025-09-26T21:38:27.509670,binance,14,1758915508024,1758915507327,0,0
2025-09-26T21:38:27.509670,coinbase,79,,,0,0
2025-09-26T21:38:27.509670,kraken,5,,,0,0
2025-09-26T21:38:27.509670,okx,83,,,0,0
2025-09-26T21:38:27.509670,bybit,58,,,0,0
2025-09-26T21:38:27.510417,binance,14,1758915508024,1758915507327,0,0
2025-09-26T21:38:27.510417,coinbase,79,,,0,0
2025-09-26T21:38:27.510417,kraken,5,,,0,0
2025-09-26T21:38:27.510417,okx,83,,,0,0
2025-09-26T21:38:27.510417,bybit,58,,,0,0
2025-09-26T21:38:27.511118,binance,14,1758915508024,1758915507327,0,0
2025-09-26T21:38:27.511118,coinbase,79,,,0,0
2025-09-26T21:38:27.511118,kraken,5,,,0,0
2025-09-26T21:38:27.511118,okx,83,,,0,0
2025-09-26T21:38:27.511118,bybit,58,,,0,0
2025-09-26T21:38:32.512818,binance,19,1758915513024,1758915512328,0,0
2025-09-26T21:38:32.512818,coinbase,108,,,0,0
2025-09-26T21:38:32.512818,kraken,6,,,0,0
2025-09-26T21:38:32.512818,okx,118,,,0,0
2025-09-26T21:38:32.512818,bybit,84,,,0,0
2025-09-26T21:38:32.513472,binance,19,1758915513024,1758915512328,0,0
2025-09-26T21:38:32.513472,coinbase,108,,,0,0
2025-09-26T21:38:32.513472,kraken,6,,,0,0
2025-09-26T21:38:32.513472,okx,118,,,0,0
2025-09-26T21:38:32.513472,bybit,84,,,0,0
2025-09-26T21:38:32.513770,binance,19,1758915513024,1758915512328,0,0
2025-09-26T21:38:32.513770,coinbase,108,,,0,0
2025-09-26T21:38:32.513770,kraken,6,,,0,0
2025-09-26T21:38:32.513770,okx,118,,,0,0
2025-09-26T21:38:32.513770,bybit,84,,,0,0
2025-09-26T21:38:32.513989,binance,19,1758915513024,1758915512328,0,0
2025-09-26T21:38:32.513989,coinbase,108,,,0,0
2025-09-26T21:38:32.513989,kraken,6,,,0,0
2025-09-26T21:38:32.513989,okx,118,,,0,0
2025-09-26T21:38:32.513989,bybit,84,,,0,0
2025-09-26T21:38:32.514523,binance,19,1758915513024,1758915512328,0,0
2025-09-26T21:38:32.514523,coinbase,108,,,0,0
2025-09-26T21:38:32.514523,kraken,6,,,0,0
2025-09-26T21:38:32.514523,okx,118,,,0,0
2025-09-26T21:38:32.514523,bybit,84,,,0,0
2025-09-26T21:38:37.516057,binance,24,1758915518024,1758915517327,0,0
2025-09-26T21:38:37.516057,coinbase,116,,,0,0
2025-09-26T21:38:37.516057,kraken,8,,,0,0
2025-09-26T21:38:37.516057,okx,150,,,0,0
2025-09-26T21:38:37.516057,bybit,93,,,0,0
2025-09-26T21:38:37.517066,binance,24,1758915518024,1758915517327,0,0
2025-09-26T21:38:37.517066,coinbase,116,,,0,0
2025-09-26T21:38:37.517066,kraken,8,,,0,0
2025-09-26T21:38:37.517066,okx,150,,,0,0
2025-09-26T21:38:37.517066,bybit,93,,,0,0
2025-09-26T21:38:37.517874,binance,24,1758915518024,1758915517327,0,0
2025-09-26T21:38:37.517874,coinbase,116,,,0,0
2025-09-26T21:38:37.517874,kraken,8,,,0,0
2025-09-26T21:38:37.517874,okx,150,,,0,0
2025-09-26T21:38:37.517874,bybit,93,,,0,0
2025-09-26T21:38:37.518353,binance,24,1758915518024,1758915517327,0,0
2025-09-26T21:38:37.518353,coinbase,116,,,0,0
2025-09-26T21:38:37.518353,kraken,8,,,0,0
2025-09-26T21:38:37.518353,okx,150,,,0,0
2025-09-26T21:38:37.518353,bybit,93,,,0,0
2025-09-26T21:38:37.518781,binance,24,1758915518024,1758915517327,0,0
2025-09-26T21:38:37.518781,coinbase,116,,,0,0
2025-09-26T21:38:37.518781,kraken,8,,,0,0
2025-09-26T21:38:37.518781,okx,150,,,0,0
2025-09-26T21:38:37.518781,bybit,93,,,0,0
2025-09-26T21:38:42.608462,binance,29,1758915523024,1758915522327,0,0
2025-09-26T21:38:42.608462,coinbase,139,,,0,0
2025-09-26T21:38:42.608462,kraken,9,,,0,0
2025-09-26T21:38:42.608462,okx,182,,,0,0
2025-09-26T21:38:42.608462,bybit,101,,,0,0
2025-09-26T21:38:42.611990,binance,29,1758915523024,1758915522327,0,0
2025-09-26T21:38:42.611990,coinbase,139,,,0,0
2025-09-26T21:38:42.611990,kraken,9,,,0,0
