ts,venue,msgs_last_30s,last_tick_exchange_ts,last_tick_local_ts,lag_ms,gaps_last_30s
2025-09-28T00:03:46.995682,binance,3,1759010626016,1759010626113,0,0
2025-09-28T00:03:46.995682,coinbase,76,,,0,0
2025-09-28T00:03:46.995682,kraken,1,,,0,0
2025-09-28T00:03:46.995682,okx,18,,,0,0
2025-09-28T00:03:46.995682,bybit,29,,,0,0
2025-09-28T00:03:46.996241,binance,3,1759010626016,1759010626113,0,0
2025-09-28T00:03:46.996241,coinbase,76,,,0,0
2025-09-28T00:03:46.996241,kraken,1,,,0,0
2025-09-28T00:03:46.996241,okx,18,,,0,0
2025-09-28T00:03:46.996241,bybit,29,,,0,0
2025-09-28T00:03:46.996713,binance,3,1759010626016,1759010626113,0,0
2025-09-28T00:03:46.996713,coinbase,76,,,0,0
2025-09-28T00:03:46.996713,kraken,1,,,0,0
2025-09-28T00:03:46.996713,okx,18,,,0,0
2025-09-28T00:03:46.996713,bybit,29,,,0,0
2025-09-28T00:03:46.997034,binance,3,1759010626016,1759010626113,0,0
2025-09-28T00:03:46.997034,coinbase,76,,,0,0
2025-09-28T00:03:46.997034,kraken,1,,,0,0
2025-09-28T00:03:46.997034,okx,18,,,0,0
2025-09-28T00:03:46.997034,bybit,29,,,0,0
2025-09-28T00:03:46.997530,binance,3,1759010626016,1759010626113,0,0
2025-09-28T00:03:46.997530,coinbase,76,,,0,0
2025-09-28T00:03:46.997530,kraken,1,,,0,0
2025-09-28T00:03:46.997530,okx,18,,,0,0
2025-09-28T00:03:46.997530,bybit,29,,,0,0
2025-09-28T00:03:51.999525,binance,8,1759010631017,1759010631128,0,0
2025-09-28T00:03:51.999525,coinbase,110,,,0,0
2025-09-28T00:03:51.999525,kraken,1,,,0,0
2025-09-28T00:03:51.999525,okx,38,,,0,0
2025-09-28T00:03:51.999525,bybit,34,,,0,0
2025-09-28T00:03:52.000767,binance,8,1759010631017,1759010631128,0,0
2025-09-28T00:03:52.000767,coinbase,110,,,0,0
2025-09-28T00:03:52.000767,kraken,1,,,0,0
2025-09-28T00:03:52.000767,okx,38,,,0,0
2025-09-28T00:03:52.000767,bybit,34,,,0,0
2025-09-28T00:03:52.000979,binance,8,1759010631017,1759010631128,0,0
2025-09-28T00:03:52.000979,coinbase,110,,,0,0
2025-09-28T00:03:52.000979,kraken,1,,,0,0
2025-09-28T00:03:52.000979,okx,38,,,0,0
2025-09-28T00:03:52.000979,bybit,34,,,0,0
2025-09-28T00:03:52.001252,binance,8,1759010631017,1759010631128,0,0
2025-09-28T00:03:52.001252,coinbase,110,,,0,0
2025-09-28T00:03:52.001252,kraken,1,,,0,0
2025-09-28T00:03:52.001252,okx,38,,,0,0
2025-09-28T00:03:52.001252,bybit,34,,,0,0
