ts,venue,msgs_last_30s,last_tick_exchange_ts,last_tick_local_ts,lag_ms,gaps_last_30s
2025-09-28T00:04:10.874260,binance,3,1759010650016,1759010650125,0,0
2025-09-28T00:04:10.874260,coinbase,12,,,0,0
2025-09-28T00:04:10.874260,kraken,1,,,0,0
2025-09-28T00:04:10.874260,okx,18,,,0,0
2025-09-28T00:04:10.874260,bybit,9,,,0,0
2025-09-28T00:04:10.875137,binance,3,1759010650016,1759010650125,0,0
2025-09-28T00:04:10.875137,coinbase,12,,,0,0
2025-09-28T00:04:10.875137,kraken,1,,,0,0
2025-09-28T00:04:10.875137,okx,18,,,0,0
2025-09-28T00:04:10.875137,bybit,9,,,0,0
2025-09-28T00:04:10.875466,binance,3,1759010650016,1759010650125,0,0
2025-09-28T00:04:10.875466,coinbase,12,,,0,0
2025-09-28T00:04:10.875466,kraken,1,,,0,0
2025-09-28T00:04:10.875466,okx,18,,,0,0
2025-09-28T00:04:10.875466,bybit,9,,,0,0
2025-09-28T00:04:10.875862,binance,3,1759010650016,1759010650125,0,0
2025-09-28T00:04:10.875862,coinbase,12,,,0,0
2025-09-28T00:04:10.875862,kraken,1,,,0,0
2025-09-28T00:04:10.875862,okx,18,,,0,0
2025-09-28T00:04:10.875862,bybit,9,,,0,0
2025-09-28T00:04:10.876374,binance,3,1759010650016,1759010650125,0,0
2025-09-28T00:04:10.876374,coinbase,12,,,0,0
2025-09-28T00:04:10.876374,kraken,1,,,0,0
2025-09-28T00:04:10.876374,okx,18,,,0,0
2025-09-28T00:04:10.876374,bybit,9,,,0,0
2025-09-28T00:04:15.878417,binance,8,1759010655017,1759010655124,0,0
2025-09-28T00:04:15.878417,coinbase,18,,,0,0
2025-09-28T00:04:15.878417,kraken,2,,,0,0
2025-09-28T00:04:15.878417,okx,30,,,0,0
2025-09-28T00:04:15.878417,bybit,10,,,0,0
2025-09-28T00:04:15.879410,binance,8,1759010655017,1759010655124,0,0
2025-09-28T00:04:15.879410,coinbase,18,,,0,0
2025-09-28T00:04:15.879410,kraken,2,,,0,0
2025-09-28T00:04:15.879410,okx,30,,,0,0
2025-09-28T00:04:15.879410,bybit,10,,,0,0
2025-09-28T00:04:15.880027,binance,8,1759010655017,1759010655124,0,0
2025-09-28T00:04:15.880027,coinbase,18,,,0,0
2025-09-28T00:04:15.880027,kraken,2,,,0,0
2025-09-28T00:04:15.880027,okx,30,,,0,0
2025-09-28T00:04:15.880027,bybit,10,,,0,0
2025-09-28T00:04:15.880563,binance,8,1759010655017,1759010655124,0,0
2025-09-28T00:04:15.880563,coinbase,18,,,0,0
2025-09-28T00:04:15.880563,kraken,2,,,0,0
2025-09-28T00:04:15.880563,okx,30,,,0,0
2025-09-28T00:04:15.880563,bybit,10,,,0,0
2025-09-28T00:04:15.881087,binance,8,1759010655017,1759010655124,0,0
2025-09-28T00:04:15.881087,coinbase,18,,,0,0
2025-09-28T00:04:15.881087,kraken,2,,,0,0
2025-09-28T00:04:15.881087,okx,30,,,0,0
2025-09-28T00:04:15.881087,bybit,10,,,0,0
2025-09-28T00:04:20.883364,binance,13,1759010660014,1759010660122,0,0
2025-09-28T00:04:20.883364,coinbase,23,,,0,0
2025-09-28T00:04:20.883364,kraken,5,,,0,0
2025-09-28T00:04:20.883364,okx,49,,,0,0
2025-09-28T00:04:20.883364,bybit,18,,,0,0
2025-09-28T00:04:20.884493,binance,13,1759010660014,1759010660122,0,0
2025-09-28T00:04:20.884493,coinbase,23,,,0,0
2025-09-28T00:04:20.884493,kraken,5,,,0,0
2025-09-28T00:04:20.884493,okx,49,,,0,0
2025-09-28T00:04:20.884493,bybit,18,,,0,0
2025-09-28T00:04:20.885223,binance,13,1759010660014,1759010660122,0,0
2025-09-28T00:04:20.885223,coinbase,23,,,0,0
2025-09-28T00:04:20.885223,kraken,5,,,0,0
2025-09-28T00:04:20.885223,okx,49,,,0,0
2025-09-28T00:04:20.885223,bybit,18,,,0,0
2025-09-28T00:04:20.885841,binance,13,1759010660014,1759010660122,0,0
2025-09-28T00:04:20.885841,coinbase,23,,,0,0
2025-09-28T00:04:20.885841,kraken,5,,,0,0
2025-09-28T00:04:20.885841,okx,49,,,0,0
2025-09-28T00:04:20.885841,bybit,18,,,0,0
2025-09-28T00:04:20.886379,binance,13,1759010660014,1759010660122,0,0
2025-09-28T00:04:20.886379,coinbase,23,,,0,0
2025-09-28T00:04:20.886379,kraken,5,,,0,0
2025-09-28T00:04:20.886379,okx,49,,,0,0
2025-09-28T00:04:20.886379,bybit,18,,,0,0
2025-09-28T00:04:25.888435,binance,18,1759010665017,1759010665124,0,0
2025-09-28T00:04:25.888435,coinbase,40,,,0,0
2025-09-28T00:04:25.888435,kraken,6,,,0,0
2025-09-28T00:04:25.888435,okx,80,,,0,0
2025-09-28T00:04:25.888435,bybit,32,,,0,0
