envType,regime,venue,mean_lower,mean_upper,ci_lower,ci_upper,n_days
volatility,medium,binance,0.325,0.325,0,0,58
volatility,medium,coinbase,0.25,0.25,0,0,58
volatility,medium,kraken,0.2199,0.2199,0,0,58
volatility,medium,bybit,0.19,0.19,0,0,58
volatility,medium,okx,0.015,0.015,0,0,58
funding,medium,binance,0.325,0.325,0,0,58
funding,medium,coinbase,0.25,0.25,0,0,58
funding,medium,kraken,0.2199,0.2199,0,0,58
funding,medium,bybit,0.19,0.19,0,0,58
funding,medium,okx,0.015,0.015,0,0,58
liquidity,medium,binance,0.325,0.325,0,0,58
liquidity,medium,coinbase,0.25,0.25,0,0,58
liquidity,medium,kraken,0.2199,0.2199,0,0,58
liquidity,medium,bybit,0.19,0.19,0,0,58
liquidity,medium,okx,0.015,0.015,0,0,58
