current_path,suggested_path,size,modified_ts
analysis/w1_build_v5/panel/dt=2025-08-06/venue=COINBASE/part-0.parquet,artifacts/analysis/w1_build_v5/panel/dt=2025-08-06/venue=COINBASE/part-0.parquet,1295323,2025-10-04T20:25:04.038648
analysis/w1_build_v5/panel/dt=2025-08-06/venue=BYBITSPOT/part-0.parquet,artifacts/analysis/w1_build_v5/panel/dt=2025-08-06/venue=BYBITSPOT/part-0.parquet,750452,2025-10-04T20:25:04.689426
analysis/w1_build_v5/panel/dt=2025-08-06/venue=BITGET/part-0.parquet,artifacts/analysis/w1_build_v5/panel/dt=2025-08-06/venue=BITGET/part-0.parquet,687800,2025-10-04T20:25:05.142935
analysis/w1_build_v5/panel/dt=2025-08-06/venue=BINANCE/part-0.parquet,artifacts/analysis/w1_build_v5/panel/dt=2025-08-06/venue=BINANCE/part-0.parquet,1611482,2025-10-04T20:25:03.282230
analysis/w1_build_v5/panel/dt=2025-08-01/venue=COINBASE/part-0.parquet,artifacts/analysis/w1_build_v5/panel/dt=2025-08-01/venue=COINBASE/part-0.parquet,1652546,2025-10-04T20:24:45.730310
analysis/w1_build_v5/panel/dt=2025-08-01/venue=BYBITSPOT/part-0.parquet,artifacts/analysis/w1_build_v5/panel/dt=2025-08-01/venue=BYBITSPOT/part-0.parquet,1138653,2025-10-04T20:24:46.507812
analysis/w1_build_v5/panel/dt=2025-08-01/venue=BITGET/part-0.parquet,artifacts/analysis/w1_build_v5/panel/dt=2025-08-01/venue=BITGET/part-0.parquet,831625,2025-10-04T20:24:47.012550
analysis/w1_build_v5/panel/dt=2025-08-01/venue=BINANCE/part-0.parquet,artifacts/analysis/w1_build_v5/panel/dt=2025-08-01/venue=BINANCE/part-0.parquet,1242375,2025-10-04T20:24:44.479947
analysis/w1_build_v5/panel/dt=2025-08-07/venue=COINBASE/part-0.parquet,artifacts/analysis/w1_build_v5/panel/dt=2025-08-07/venue=COINBASE/part-0.parquet,1337951,2025-10-04T20:25:07.803389
analysis/w1_build_v5/panel/dt=2025-08-07/venue=BYBITSPOT/part-0.parquet,artifacts/analysis/w1_build_v5/panel/dt=2025-08-07/venue=BYBITSPOT/part-0.parquet,808394,2025-10-04T20:25:08.436997
analysis/w1_build_v5/panel/dt=2025-08-07/venue=BITGET/part-0.parquet,artifacts/analysis/w1_build_v5/panel/dt=2025-08-07/venue=BITGET/part-0.parquet,967497,2025-10-04T20:25:08.881436
analysis/w1_build_v5/panel/dt=2025-08-07/venue=BINANCE/part-0.parquet,artifacts/analysis/w1_build_v5/panel/dt=2025-08-07/venue=BINANCE/part-0.parquet,1620980,2025-10-04T20:25:06.983850
analysis/w1_build_v5/panel/dt=2025-08-02/venue=COINBASE/part-0.parquet,artifacts/analysis/w1_build_v5/panel/dt=2025-08-02/venue=COINBASE/part-0.parquet,1256021,2025-10-04T20:24:49.203715
analysis/w1_build_v5/panel/dt=2025-08-02/venue=BYBITSPOT/part-0.parquet,artifacts/analysis/w1_build_v5/panel/dt=2025-08-02/venue=BYBITSPOT/part-0.parquet,755076,2025-10-04T20:24:49.829882
analysis/w1_build_v5/panel/dt=2025-08-02/venue=BITGET/part-0.parquet,artifacts/analysis/w1_build_v5/panel/dt=2025-08-02/venue=BITGET/part-0.parquet,513780,2025-10-04T20:24:50.222117
analysis/w1_build_v5/panel/dt=2025-08-02/venue=BINANCE/part-0.parquet,artifacts/analysis/w1_build_v5/panel/dt=2025-08-02/venue=BINANCE/part-0.parquet,1580891,2025-10-04T20:24:48.464120
analysis/w1_build_v5/panel/dt=2025-08-05/venue=COINBASE/part-0.parquet,artifacts/analysis/w1_build_v5/panel/dt=2025-08-05/venue=COINBASE/part-0.parquet,1333483,2025-10-04T20:24:59.818545
analysis/w1_build_v5/panel/dt=2025-08-05/venue=BYBITSPOT/part-0.parquet,artifacts/analysis/w1_build_v5/panel/dt=2025-08-05/venue=BYBITSPOT/part-0.parquet,839999,2025-10-04T20:25:00.516434
analysis/w1_build_v5/panel/dt=2025-08-05/venue=BITGET/part-0.parquet,artifacts/analysis/w1_build_v5/panel/dt=2025-08-05/venue=BITGET/part-0.parquet,611420,2025-10-04T20:25:01.100096
analysis/w1_build_v5/panel/dt=2025-08-05/venue=BINANCE/part-0.parquet,artifacts/analysis/w1_build_v5/panel/dt=2025-08-05/venue=BINANCE/part-0.parquet,1633231,2025-10-04T20:24:59.002446
analysis/w1_build_v5/panel/dt=2025-08-04/venue=COINBASE/part-0.parquet,artifacts/analysis/w1_build_v5/panel/dt=2025-08-04/venue=COINBASE/part-0.parquet,1254928,2025-10-04T20:24:56.078523
analysis/w1_build_v5/panel/dt=2025-08-04/venue=BYBITSPOT/part-0.parquet,artifacts/analysis/w1_build_v5/panel/dt=2025-08-04/venue=BYBITSPOT/part-0.parquet,930471,2025-10-04T20:24:56.707986
analysis/w1_build_v5/panel/dt=2025-08-04/venue=BITGET/part-0.parquet,artifacts/analysis/w1_build_v5/panel/dt=2025-08-04/venue=BITGET/part-0.parquet,505273,2025-10-04T20:24:57.091368
analysis/w1_build_v5/panel/dt=2025-08-04/venue=BINANCE/part-0.parquet,artifacts/analysis/w1_build_v5/panel/dt=2025-08-04/venue=BINANCE/part-0.parquet,1636983,2025-10-04T20:24:55.313920
analysis/w1_build_v5/panel/dt=2025-08-03/venue=COINBASE/part-0.parquet,artifacts/analysis/w1_build_v5/panel/dt=2025-08-03/venue=COINBASE/part-0.parquet,1137664,2025-10-04T20:24:52.509122
analysis/w1_build_v5/panel/dt=2025-08-03/venue=BYBITSPOT/part-0.parquet,artifacts/analysis/w1_build_v5/panel/dt=2025-08-03/venue=BYBITSPOT/part-0.parquet,798186,2025-10-04T20:24:53.225090
analysis/w1_build_v5/panel/dt=2025-08-03/venue=BITGET/part-0.parquet,artifacts/analysis/w1_build_v5/panel/dt=2025-08-03/venue=BITGET/part-0.parquet,389315,2025-10-04T20:24:53.537868
