hour,variance_squared,bucket,sufficient
2025-08-22 00:00:00+00:00,2451.160038280512,LOW,True
2025-08-22 01:00:00+00:00,,INSUFFICIENT,False
2025-08-22 02:00:00+00:00,,INSUFFICIENT,False
2025-08-22 03:00:00+00:00,,INSUFFICIENT,False
2025-08-22 04:00:00+00:00,,INSUFFICIENT,False
2025-08-22 05:00:00+00:00,,INSUFFICIENT,False
2025-08-22 06:00:00+00:00,,INSUFFICIENT,False
2025-08-22 07:00:00+00:00,,INSUFFICIENT,False
2025-08-22 08:00:00+00:00,,INSUFFICIENT,False
2025-08-22 09:00:00+00:00,,INSUFFICIENT,False
2025-08-22 10:00:00+00:00,,INSUFFICIENT,False
2025-08-22 11:00:00+00:00,,INSUFFICIENT,False
2025-08-22 12:00:00+00:00,,INSUFFICIENT,False
2025-08-22 13:00:00+00:00,,INSUFFICIENT,False
2025-08-22 14:00:00+00:00,,INSUFFICIENT,False
2025-08-22 15:00:00+00:00,,INSUFFICIENT,False
2025-08-22 16:00:00+00:00,,INSUFFICIENT,False
2025-08-22 17:00:00+00:00,,INSUFFICIENT,False
2025-08-22 18:00:00+00:00,,INSUFFICIENT,False
2025-08-22 19:00:00+00:00,,INSUFFICIENT,False
2025-08-22 20:00:00+00:00,,INSUFFICIENT,False
2025-08-22 21:00:00+00:00,,INSUFFICIENT,False
2025-08-22 22:00:00+00:00,,INSUFFICIENT,False
2025-08-22 23:00:00+00:00,,INSUFFICIENT,False
2025-08-23 00:00:00+00:00,435308.201217624,NORMAL,True
2025-08-23 01:00:00+00:00,14186.902168422203,LOW,True
2025-08-23 02:00:00+00:00,42570.57955973422,LOW,True
2025-08-23 03:00:00+00:00,34410.60461610168,LOW,True
2025-08-23 04:00:00+00:00,473704.02022480126,HIGH,True
2025-08-23 05:00:00+00:00,854823.6663854136,HIGH,True
2025-08-23 06:00:00+00:00,805269.8817753305,HIGH,True
2025-08-23 07:00:00+00:00,,INSUFFICIENT,False
2025-08-23 08:00:00+00:00,1032708.5385083457,HIGH,True
2025-08-23 09:00:00+00:00,222375.99699061023,NORMAL,True
2025-08-23 10:00:00+00:00,,INSUFFICIENT,False
2025-08-23 11:00:00+00:00,2520.6860711459594,LOW,True
2025-08-23 12:00:00+00:00,674724.2870135109,HIGH,True
2025-08-23 13:00:00+00:00,370800.077823411,NORMAL,True
2025-08-23 14:00:00+00:00,221852.2442883012,NORMAL,True
2025-08-23 15:00:00+00:00,,INSUFFICIENT,False
2025-08-23 16:00:00+00:00,151777.4830793746,NORMAL,True
2025-08-23 17:00:00+00:00,,INSUFFICIENT,False
2025-08-23 18:00:00+00:00,,INSUFFICIENT,False
2025-08-23 19:00:00+00:00,,INSUFFICIENT,False
2025-08-23 20:00:00+00:00,,INSUFFICIENT,False
2025-08-23 21:00:00+00:00,,INSUFFICIENT,False
2025-08-23 22:00:00+00:00,,INSUFFICIENT,False
2025-08-23 23:00:00+00:00,,INSUFFICIENT,False
2025-08-24 00:00:00+00:00,36286.30151750766,LOW,True
2025-08-24 01:00:00+00:00,18410.941191551665,LOW,True
2025-08-24 02:00:00+00:00,1168288.1210865378,HIGH,True
2025-08-24 03:00:00+00:00,,INSUFFICIENT,False
2025-08-24 04:00:00+00:00,,INSUFFICIENT,False
2025-08-24 05:00:00+00:00,,INSUFFICIENT,False
2025-08-24 06:00:00+00:00,,INSUFFICIENT,False
2025-08-24 07:00:00+00:00,,INSUFFICIENT,False
2025-08-24 08:00:00+00:00,,INSUFFICIENT,False
2025-08-24 09:00:00+00:00,379076.8794717301,NORMAL,True
2025-08-24 10:00:00+00:00,119840.66599987978,NORMAL,True
