venue,k_hours,n_observations,mean_delta_L,recovery_correlation,correlation_p_value,t_statistic,t_p_value,cohens_d,ci_lower,ci_upper
COINBASE,1,44,-0.004419191919191914,-0.11112021446973105,0.47269742562133243,-0.0889951316020553,0.9294989947629786,-0.013416520895105357,-0.09638257575757574,0.1005920815295815
COINBASE,2,44,0.0056055686737505,-0.32175241729253173,0.033186520750068955,0.09909905185979423,0.9215201822670887,0.014939744186314042,-0.10260668781975599,0.11540246212121216
COINBASE,3,44,-0.024192474192474188,-0.0071722327277876415,0.9631459416370558,-0.504002613243477,0.6168322371044317,-0.07598125279487365,-0.11512060855810853,0.0666027722277722
BINANCE,1,44,-0.09423701298701298,-0.08538287593027584,0.5815862551319805,-1.9448952577710783,0.05834600171469037,-0.293203992116737,-0.19165381493506492,0.0002752976190475646
BINANCE,2,44,-0.02853207398661942,-0.1216616427822174,0.4314525848679134,-0.5610193152560027,0.5776964123300347,-0.08457684403846681,-0.1374146497441952,0.0689081562377017
BINANCE,3,44,-0.04363553113553113,-0.060184007179104194,0.6979606052810432,-0.9079789614358054,0.3689501377355159,-0.13688297875541552,-0.1327332042957043,0.046800074925074917
BYBITSPOT,1,44,0.006971500721500727,-0.2080260913643284,0.17540418373099664,0.13737159734679122,0.8913783089582287,0.020709547511413084,-0.08608766233766235,0.10532264610389609
BYBITSPOT,2,44,-0.05906877213695395,-0.0459701305040463,0.7669936946236695,-1.33975356472026,0.1873632471838568,-0.20197544935082876,-0.1431280745769382,0.026446096517119235
BYBITSPOT,3,44,-0.01174658674658675,-0.16325592326655344,0.28966075299174115,-0.23532476277374884,0.8150738231737353,-0.035476542818178136,-0.11261374042624044,0.07933701714951712
BITGET,1,44,0.023502886002886015,-0.004360444851369494,0.9775892900129262,0.4639684860411556,0.6450106718270289,0.06994588103398909,-0.07377750721500718,0.12047979797979795
BITGET,2,44,-0.031641086186540726,-0.11462914977615864,0.45874096323995306,-0.6532722507254177,0.5170588412882935,-0.09848449734578132,-0.12125061491538766,0.061330922865013765
BITGET,3,44,-0.05678904428904428,0.052837580137793536,0.7333798344443846,-1.3202125001797058,0.19374887242310393,-0.19902952302877708,-0.13568452380952378,0.028323863636363595
