t_hours,delta_H
1,-0.15717233020885749
2,-0.1849549893007749
3,-0.18268782155512364
4,-0.24631712018220844
5,-0.2642207393487156
6,-0.3279804573918082
7,-0.33622991822304604
8,-0.20031255159054237
9,-0.2872218899895726
10,-0.21376940096431213
11,-0.29840340819746375
12,-0.2180350908027094
13,-0.26657967713399044
14,-0.23794920930230457
15,-0.2686521731704377
16,-0.28397731110766783
17,-0.31001594805990806
18,-0.1728690140545083
19,-0.2989856810105592
20,-0.29704422708990275
21,-0.33397478616933535
22,-0.18174248007677923
23,-0.28683634733886815
24,-0.3374284144402026
