venue,t_hours,correlation,p_value,n_observations
COINBASE,1,-0.11112021446973105,0.47269742562133243,44
COINBASE,2,-0.32175241729253173,0.033186520750068955,44
COINBASE,3,-0.0071722327277876415,0.9631459416370558,44
COINBASE,4,0.15087106506865142,0.3341853646630148,43
COINBASE,5,-0.12241527196782827,0.43420022893008253,43
COINBASE,6,-0.1322496463769306,0.3978949273427685,43
COINBASE,7,-0.23669237987727926,0.12647108654495118,43
COINBASE,8,-0.12096667160920975,0.4396992220506353,43
COINBASE,9,-0.04259544861487525,0.786229954893972,43
COINBASE,10,-0.07713279909759438,0.6229860026669942,43
COINBASE,11,-0.17290216729789287,0.2675329415825872,43
COINBASE,12,0.024115610275213365,0.8780047656205552,43
COINBASE,13,0.12896804139532472,0.41564924835819383,42
COINBASE,14,-0.10209463129411342,0.5199868523156519,42
COINBASE,15,-0.006938678552997097,0.9652143312674758,42
COINBASE,16,-0.09842835627225395,0.5403737242233989,41
COINBASE,17,-0.22586857634897664,0.1556181725541671,41
COINBASE,18,-0.07560722746066728,0.6384805573344823,41
COINBASE,19,-0.06540695884181118,0.68452759693256,41
COINBASE,20,-0.09044438243524841,0.5788800475560183,40
COINBASE,21,0.05081880115650879,0.755484531789406,40
COINBASE,22,0.22153583205741725,0.16949552068300328,40
COINBASE,23,-0.005959282059422016,0.9708877080086425,40
COINBASE,24,-0.20084291606964289,0.22020067326032663,39
BINANCE,1,-0.08538287593027584,0.5815862551319805,44
BINANCE,2,-0.1216616427822174,0.4314525848679134,44
BINANCE,3,-0.060184007179104194,0.6979606052810432,44
BINANCE,4,-0.17764464210102718,0.25442768024143064,43
BINANCE,5,-0.2974705141004428,0.0527121653208139,43
BINANCE,6,-0.14318563319424724,0.3596692253807667,43
BINANCE,7,-0.19131053606381512,0.21909820959359602,43
BINANCE,8,0.12677523553111797,0.41788242948393123,43
BINANCE,9,-0.0401943207802735,0.7980215249128317,43
BINANCE,10,0.14642243724261952,0.3487965492906206,43
BINANCE,11,0.06404356004667895,0.6832692883579816,43
BINANCE,12,0.18826643741596183,0.22665739144431815,43
