from_venue,to_venue,f_statistic,p_value,significant,n_observations
BINANCE,COINBASE,0.1494158511900266,0.6991675763503911,False,1125
BYBITSPOT,COINBASE,1.8183510138036005,0.17778205594847904,False,1125
BITGET,COINBASE,1.05264002622767,0.30512118306346603,False,1125
COINBASE,BINANCE,1.9938261390791046,0.15821892022860942,False,1125
BYBITSPOT,BINANCE,10.800051938806725,0.0010464232468159356,True,1125
BITGET,BINANCE,17.883824555185363,2.5394263764023184e-05,True,1125
COINBASE,BYBITSPOT,0.01866424109771108,0.8913579637384178,False,1125
BINANCE,BYBITSPOT,24.216803388655883,9.895920134112148e-07,True,1125
BITGET,BYBITSPOT,2.6212846287778846,0.10572033186203277,False,1125
COINBASE,BITGET,0.6098368726238244,0.4350141136042588,False,1125
BINANCE,BITGET,9.021255695135439,0.0027277953176559917,True,1125
BYBITSPOT,BITGET,60.53582247758055,1.6324185632519397e-14,True,1125
